Time (s)	Load (N)	Displacement (mm)
0	-0,1	-0,036
0,024	-0,1	-0,173
0,048	-0,1	-0,297
0,071	-0,66	-0,418
0,097	-1,5	-0,543
0,12	-2,38	-0,659
0,144	-4,04	-0,779
0,168	-4,8	-0,899
0,192	-5,58	-1,019
0,216	-6,3	-1,139
0,24	-7,02	-1,259
0,263	-8,26	-1,379
0,288	-8,8	-1,499
0,312	-9,3	-1,619
0,336	-9,84	-1,739
0,361	-10,38	-1,859
0,384	-10,94	-1,979
0,408	-12	-2,099
0,432	-12,4	-2,219
0,456	-12,58	-2,339
0,479	-13	-2,459
0,504	-13,52	-2,579
0,528	-14,58	-2,704
0,552	-15,06	-2,849
0,582	-15,6	-2,969
0,605	-16,72	-3,089
0,63	-17,32	-3,208
0,654	-17,88	-3,297
0,677	-18,42	-3,365
0,702	-18,92	-3,406
0,726	-19,58	-3,435
0,75	-19,72	-3,455
0,773	-19,8	-3,469
0,797	-19,82	-3,479
0,822	-19,82	-3,485
0,846	-19,78	-3,49
0,87	-19,74	-3,493
0,894	-19,7	-3,495
0,917	-19,7	-3,497
0,942	-19,64	-3,498
0,965	-19,48	-3,498
0,99	-19,44	-3,499
1,013	-19,44	-3,499
1,037	-19,4	-3,494
1,061	-19,3	-3,371
1,086	-18,9	-3,241
1,109	-18,9	-3,118
1,134	-18,2	-2,998
1,157	-16,38	-2,868
1,181	-15,56	-2,757
1,205	-15,56	-2,637
1,229	-14,02	-2,517
1,253	-12,56	-2,397
1,279	-11,88	-2,272
1,301	-11,2	-2,152
1,325	-10,56	-2,037
1,349	-9,88	-1,917
1,373	-9,14	-1,798
1,398	-8,54	-1,678
1,421	-7,94	-1,558
1,448	-6,78	-1,393
1,475	-6,22	-1,288
1,499	-5,68	-1,168
1,523	-4,66	-1,048
1,547	-4,16	-0,928
1,571	-3,66	-0,808
1,596	-3,18	-0,688
1,619	-2,7	-0,568
1,643	-2,26	-0,448
1,667	-1,36	-0,328
1,691	-0,92	-0,228
1,715	-0,5	-0,154
1,739	-0,1	-0,106
1,763	0,2	-0,073
1,787	0,7	-0,051
1,811	0,86	-0,035
1,836	0,94	-0,024
1,859	1	-0,016
1,883	1,04	-0,012
1,907	1,08	-0,008
1,931	1,08	-0,006
2,008	1,06	-0,002
2,033	1,04	-0,001
2,057	1,04	-0,001
2,081	1,02	0
2,105	1	-0,023
2,129	0,98	-0,159
2,153	0,98	-0,284
2,177	0,46	-0,405
2,201	0,26	-0,526
2,225	-0,9	-0,646
