Time (s)	Load (N)	Displacement (mm)
0	-0,16	-0,035
0,023	-0,16	-0,173
0,047	-0,16	-0,298
0,08	-1,44	-0,449
0,102	-2,54	-0,569
0,126	-3,52	-0,689
0,151	-4,46	-0,809
0,174	-5,32	-0,929
0,197	-7,2	-1,049
0,221	-8,14	-1,17
0,245	-9,04	-1,29
0,269	-9,94	-1,41
0,293	-10,88	-1,53
0,317	-12,76	-1,65
0,341	-13,66	-1,77
0,367	-14,56	-1,89
0,389	-15,44	-2,01
0,415	-16,42	-2,13
0,437	-18,24	-2,25
0,461	-19,14	-2,37
0,486	-20,08	-2,49
0,509	-21,06	-2,61
0,534	-21,94	-2,73
0,557	-23,7	-2,85
0,583	-24,58	-3
0,611	-25,56	-3,12
0,635	-26,5	-3,235
0,661	-28,42	-3,319
0,684	-28,42	-3,375
0,707	-28,42	-3,414
0,731	-30,78	-3,441
0,755	-31,16	-3,46
0,779	-31,16	-3,472
0,803	-31,58	-3,48
0,827	-31,72	-3,486
0,851	-31,72	-3,49
0,875	-31,7	-3,494
0,899	-31,68	-3,496
0,923	-31,6	-3,497
0,947	-31,54	-3,498
0,971	-31,5	-3,498
0,995	-31,5	-3,499
1,019	-31,32	-3,499
1,043	-31,26	-3,5
1,067	-31,22	-3,498
1,091	-31,22	-3,39
1,115	-31,16	-3,255
1,139	-30,42	-3,138
1,163	-30,42	-3,017
1,187	-28	-2,897
1,211	-26,82	-2,777
1,235	-21,74	-2,296
1,331	-20,72	-2,176
1,355	-20,72	-2,056
1,379	-17,88	-1,937
1,403	-16,94	-1,816
1,427	-15,94	-1,696
1,451	-15,02	-1,577
1,475	-14,1	-1,456
1,499	-12,26	-1,337
1,523	-11,3	-1,216
1,548	-10,42	-1,096
1,571	-9,56	-0,977
1,595	-8,66	-0,857
1,619	-6,94	-0,737
1,643	-6,12	-0,622
1,667	-5,26	-0,497
1,691	-4,44	-0,377
1,715	-2,76	-0,261
1,739	-1,96	-0,163
1,769	-1,18	-0,112
1,793	-0,52	-0,077
1,817	0,38	-0,053
1,841	0,66	-0,037
1,865	0,82	-0,025
1,889	0,94	-0,018
1,913	1,04	-0,012
1,937	1,12	-0,008
1,961	1,14	-0,006
1,985	1,14	-0,004
2,009	1,14	-0,003
2,033	1,14	-0,002
2,057	1,12	-0,002
2,081	1,1	-0,001
2,105	1,08	-0,001
2,129	1,08	0
2,153	1,06	-0,04
2,177	1,02	-0,178
2,201	0,74	-0,303
2,225	0,16	-0,424
2,25	-0,46	-0,544
2,273	-1,44	-0,664
2,297	-3,3	-0,784
2,321	-4,24	-0,904
2,345	-5,12	-1,025
2,369	-6,06	-1,145
2,393	-6,96	-1,265
2,417	-8,78	-1,385
2,441	-9,66	-1,504
2,465	-10,56	-1,625
2,489	-11,46	-1,745
2,513	-12,34	-1,865
2,537	-14,22	-1,985
2,561	-15,12	-2,104
2,585	-16,02	-2,224
2,609	-16,96	-2,344
2,633	-17,9	-2,464
2,657	-19,78	-2,584
2,681	-20,7	-2,704
2,705	-21,64	-2,824
2,729	-22,6	-2,945
2,753	-23,52	-3,065
2,777	-25,4	-3,184
2,801	-26,38	-3,284
2,825	-27,42	-3,352
2,849	-28,4	-3,398
2,873	-29,18	-3,43
2,897	-30,18	-3,452
2,921	-30,48	-3,466
2,945	-30,66	-3,477
2,969	-30,78	-3,484
2,993	-30,84	-3,489
3,017	-30,88	-3,493
3,041	-30,88	-3,495
3,065	-30,86	-3,496
3,089	-30,84	-3,498
3,113	-30,84	-3,498
3,137	-30,74	-3,499
3,161	-30,7	-3,499
3,185	-30,66	-3,499
3,209	-30,62	-3,5
3,233	-30,58	-3,469
3,257	-30,52	-3,326
3,282	-29,98	-3,2
3,305	-29,98	-3,078
3,329	-28,94	-2,958
3,353	-26,3	-2,838
3,377	-24,16	-2,718
3,401	-24,16	-2,597
3,425	-23,16	-2,477
3,449	-21,24	-2,357
3,473	-20,26	-2,237
3,497	-20,26	-2,117
3,521	-18,36	-1,998
3,545	-17,36	-1,877
3,569	-16,22	-1,758
3,593	-15,26	-1,637
3,618	-13,38	-1,517
3,641	-12,36	-1,397
3,665	-11,46	-1,278
3,689	-10,58	-1,158
3,713	-9,7	-1,042
3,737	-7,96	-0,918
3,761	-7,1	-0,798
3,786	-6,26	-0,678
3,809	-5,42	-0,558
3,833	-4,58	-0,438
3,857	-2,94	-0,318
3,881	-2,12	-0,217
3,905	-1,3	-0,149
3,929	-0,58	-0,103
3,953	0,04	-0,071
3,977	0,88	-0,049
4,001	1,14	-0,034
4,025	1,3	-0,024
4,049	1,42	-0,016
4,073	1,48	-0,011
4,097	1,56	-0,007
4,121	1,56	-0,005
4,145	1,58	-0,004
4,169	1,56	-0,003
4,196	1,56	-0,002
4,217	1,54	-0,002
4,242	1,52	-0,001
4,266	1,5	-0,001
4,289	1,48	-0,006
4,313	1,48	-0,131
4,337	1,44	-0,259
4,361	0,98	-0,38
4,385	0,36	-0,501
4,409	-0,62	-0,622
4,433	-1,58	-0,742
4,457	-3,44	-0,862
4,481	-4,38	-0,982
4,505	-5,24	-1,102
4,529	-6,18	-1,222
4,553	-7,08	-1,342
4,577	-8,84	-1,462
4,601	-9,7	-1,582
4,625	-10,62	-1,702
4,649	-11,56	-1,822
4,673	-12,44	-1,942
4,697	-14,24	-2,062
4,721	-15,16	-2,182
4,745	-16,12	-2,297
4,769	-17,04	-2,422
4,793	-17,96	-2,542
4,817	-19,84	-2,662
4,841	-20,86	-2,782
4,865	-21,76	-2,897
4,889	-22,68	-3,022
4,913	-23,58	-3,142
4,937	-25,52	-3,254
4,961	-26,48	-3,331
4,985	-27,5	-3,384
5,009	-28,38	-3,42
5,033	-29,08	-3,445
5,057	-29,88	-3,462
5,081	-30,1	-3,474
5,105	-30,24	-3,482
5,129	-30,32	-3,487
5,153	-30,38	-3,491
5,177	-30,38	-3,494
5,201	-30,36	-3,496
5,225	-30,34	-3,497
5,249	-30,3	-3,498
5,273	-30,28	-3,498
5,297	-30,2	-3,499
5,321	-30,18	-3,499
5,345	-30,14	-3,5
5,369	-30,1	-3,498
5,393	-30,06	-3,39
5,417	-30,06	-3,265
5,441	-29,86	-3,138
5,465	-27,84	-3,012
5,49	-26,46	-2,897
5,513	-25,36	-2,777
5,537	-24,28	-2,657
5,561	-22,32	-2,536
5,585	-21,34	-2,416
5,61	-20,36	-2,296
5,633	-19,4	-2,176
5,657	-17,5	-2,056
5,681	-16,54	-1,936
5,705	-15,58	-1,816
5,729	-14,64	-1,696
5,753	-13,7	-1,576
5,777	-11,88	-1,456
5,801	-10,96	-1,336
5,825	-10,96	-1,216
5,849	-10,08	-1,096
5,873	-8,28	-0,976
5,897	-6,58	-0,856
5,921	-5,74	-0,736
5,945	-4,92	-0,617
5,969	-4,1	-0,501
5,993	-3,28	-0,376
6,017	-1,66	-0,261
6,041	-0,86	-0,179
6,065	-0,14	-0,124
6,089	0,46	-0,085
6,113	0,94	-0,059
6,137	1,48	-0,041
6,161	1,62	-0,028
6,185	1,72	-0,02
6,209	1,8	-0,013
6,233	1,84	-0,009
6,257	1,88	-0,006
6,281	1,88	-0,004
6,305	1,86	-0,003
6,329	1,86	-0,002
6,353	1,84	-0,002
6,377	1,8	-0,001
6,401	1,78	-0,001
6,425	1,76	0
6,449	1,74	-0,011
6,473	1,74	-0,14
6,497	1,36	-0,266
6,521	0,66	-0,387
6,545	-0,24	-0,508
6,569	-1,18	-0,628
6,593	-2,08	-0,748
6,617	-3,9	-0,868
6,641	-4,76	-0,988
6,665	-5,68	-1,108
6,689	-6,54	-1,228
6,713	-7,4	-1,348
6,737	-8,28	-1,469
6,761	-10,02	-1,588
6,785	-10,88	-1,708
6,809	-11,78	-1,828
6,833	-12,68	-1,948
6,857	-13,56	-2,068
6,881	-15,34	-2,188
6,905	-16,24	-2,308
6,929	-17,16	-2,428
6,953	-18,12	-2,548
6,977	-20	-2,668
7,001	-20,96	-2,788
7,025	-21,88	-2,908
7,049	-22,84	-3,028
7,073	-23,72	-3,143
7,097	-25,62	-3,258
7,121	-25,62	-3,334
7,145	-26,62	-3,386
7,169	-28,42	-3,421
7,193	-28,98	-3,446
7,217	-28,98	-3,462
7,241	-29,58	-3,474
7,265	-29,74	-3,482
7,289	-29,88	-3,487
7,313	-29,94	-3,492
7,337	-30	-3,494
7,361	-30	-3,496
7,385	-30	-3,497
7,409	-29,98	-3,498
7,433	-29,96	-3,498
7,457	-29,9	-3,499
7,481	-29,88	-3,499
7,505	-29,84	-3,5
7,529	-29,82	-3,452
7,559	-29,76	-3,309
7,583	-29,48	-3,184
7,607	-28,64	-3,063
7,631	-27,54	-2,942
7,655	-26,12	-2,822
7,679	-25,04	-2,702
7,703	-22,98	-2,582
7,727	-22	-2,462
7,751	-21,06	-2,342
