Time (s)	Load (N)	Displacement (mm)
0	0	-0,022
0,022	-0,5	-0,164
0,045	-0,5	-0,289
0,069	-1	-0,415
0,093	-1,5	-0,531
0,117	-2,5	-0,651
0,141	-3,5	-0,771
0,165	-4,5	-0,891
0,189	-5,5	-1,011
0,213	-6	-1,131
0,241	-7	-1,251
0,263	-8	-1,371
0,285	-8,5	-1,496
0,309	-10	-1,611
0,333	-10,5	-1,731
0,357	-11,5	-1,851
0,381	-12	-1,972
0,405	-13	-2,091
0,429	-15	-2,211
0,453	-15	-2,332
0,477	-16	-2,452
0,501	-17	-2,577
0,525	-18	-2,691
0,549	-19,5	-2,811
0,574	-20	-2,931
0,597	-21	-3,051
0,621	-22	-3,171
0,645	-22,5	-3,276
0,669	-24	-3,346
0,694	-24,5	-3,392
0,717	-24,5	-3,427
0,741	-25	-3,45
0,765	-25,5	-3,466
0,789	-25,5	-3,476
0,813	-25,5	-3,484
0,837	-25,5	-3,489
0,861	-25,5	-3,492
0,885	-25,5	-3,494
0,909	-25,5	-3,496
0,933	-25,5	-3,497
0,957	-25	-3,498
0,981	-25	-3,499
1,005	-25	-3,499
1,029	-25	-3,499
1,053	-25	-3,5
1,077	-25	-3,423
1,101	-24,5	-3,288
1,125	-24,5	-3,165
1,149	-23,5	-3,044
1,173	-22,5	-2,924
1,197	-21,5	-2,804
1,221	-20,5	-2,688
1,245	-19,5	-2,564
1,269	-18	-2,444
1,293	-17	-2,324
1,317	-16,5	-2,204
1,341	-15	-2,084
1,365	-14,5	-1,963
1,389	-13,5	-1,843
1,413	-12,5	-1,723
1,437	-12	-1,603
1,461	-11	-1,483
1,485	-9,5	-1,358
1,509	-8,5	-1,243
1,533	-8	-1,123
1,557	-7,5	-1,003
1,581	-6,5	-0,883
1,605	-6	-0,763
1,629	-4,5	-0,643
1,653	-4	-0,523
1,677	-3,5	-0,403
1,701	-3	-0,284
1,725	-2,5	-0,194
1,749	-1	-0,134
1,773	-0,5	-0,092
1,797	-0,5	-0,063
1,821	0	-0,044
1,845	0	-0,03
1,869	0	-0,02
1,893	0	-0,014
1,917	0	-0,01
1,941	0	-0,007
1,965	0	-0,004
1,989	0	-0,003
2,013	0	-0,002
2,037	0	-0,001
2,061	0	-0,001
2,085	0	0
2,115	0	-0,015
2,139	0	-0,147
2,163	0	-0,273
2,187	0	-0,4
2,211	-1	-0,515
2,235	-1,5	-0,635
2,259	-2,5	-0,756
2,283	-3	-0,876
2,307	-4,5	-0,996
2,331	-5	-1,116
2,355	-5,5	-1,236
2,379	-6,5	-1,356
2,403	-7	-1,476
2,427	-8,5	-1,596
2,451	-9	-1,716
2,475	-9,5	-1,836
2,499	-10	-1,956
2,523	-11	-2,076
2,547	-12,5	-2,196
2,571	-14,5	-2,586
2,649	-16	-2,706
2,673	-17	-2,826
2,697	-18	-2,946
2,721	-18,5	-3,066
2,745	-19,5	-3,186
2,769	-21	-3,285
2,793	-22	-3,353
2,817	-22,5	-3,398
2,841	-23	-3,43
2,865	-23,5	-3,452
2,889	-24	-3,467
2,913	-24	-3,477
2,937	-24,5	-3,485
2,961	-24,5	-3,49
2,985	-24,5	-3,493
3,009	-24,5	-3,495
3,033	-24,5	-3,496
3,057	-24,5	-3,497
3,081	-24,5	-3,498
3,105	-24,5	-3,499
3,129	-24,5	-3,499
3,153	-24,5	-3,499
3,177	-24,5	-3,5
3,201	-24,5	-3,436
3,225	-24,5	-3,301
3,249	-24	-3,177
3,273	-23	-3,056
3,297	-22,5	-2,936
3,321	-21	-2,816
3,345	-20,5	-2,696
3,369	-19	-2,576
3,393	-18	-2,456
3,417	-17	-2,336
3,441	-16	-2,216
3,465	-15	-2,096
3,489	-14,5	-1,975
3,513	-13	-1,855
3,537	-12	-1,735
3,561	-11,5	-1,615
3,585	-10,5	-1,495
3,609	-9,5	-1,375
3,633	-8,5	-1,255
3,657	-7,5	-1,135
3,681	-7	-1,015
3,705	-6	-0,895
3,729	-5	-0,775
3,753	-4,5	-0,655
3,777	-3,5	-0,535
3,801	-3	-0,415
3,825	-2,5	-0,296
3,849	-1,5	-0,202
3,873	-1	-0,139
3,897	-0,5	-0,096
3,921	0	-0,066
3,945	0	-0,045
3,969	0	-0,032
3,993	0	-0,021
4,017	0	-0,015
4,041	0	-0,011
4,065	0	-0,007
4,089	0	-0,004
4,113	0	-0,003
4,137	0	-0,002
4,161	0	-0,001
4,185	0	-0,001
4,209	0	-0,001
4,233	0	0
4,257	0	-0,097
4,281	0	-0,228
4,305	0	-0,351
4,329	0	-0,472
4,353	-1	-0,597
4,377	-2	-0,712
4,401	-2,5	-0,832
4,425	-3,5	-0,952
4,449	-4,5	-1,072
4,473	-5,5	-1,192
4,497	-6	-1,312
4,521	-6,5	-1,432
4,545	-7,5	-1,552
4,569	-8,5	-1,672
4,593	-9	-1,792
4,617	-9,5	-1,912
4,641	-10,5	-2,032
4,665	-11	-2,152
4,689	-12,5	-2,272
4,713	-13,5	-2,392
4,737	-14	-2,512
4,761	-15	-2,632
4,785	-15	-2,752
4,809	-17	-2,872
4,833	-18	-2,992
4,857	-18,5	-3,112
4,881	-19,5	-3,23
4,905	-21	-3,314
4,929	-22	-3,372
4,953	-22,5	-3,412
4,977	-23	-3,44
5,001	-23,5	-3,458
5,025	-23,5	-3,471
5,049	-24	-3,48
5,073	-24	-3,487
5,097	-24	-3,491
5,121	-24	-3,494
5,145	-24	-3,496
5,169	-24	-3,497
5,193	-24	-3,498
5,217	-24	-3,498
5,241	-24	-3,499
5,265	-24	-3,499
5,289	-24	-3,5
5,313	-24	-3,493
5,337	-24	-3,368
5,361	-24	-3,242
5,385	-24	-3,12
5,409	-22,5	-2,999
5,433	-21	-2,879
5,457	-20	-2,758
5,481	-19,5	-2,638
5,505	-18,5	-2,518
5,529	-16,5	-2,398
5,553	-15,5	-2,278
5,577	-15	-2,158
5,601	-14,5	-2,038
5,625	-13,5	-1,918
5,649	-12	-1,793
5,673	-11	-1,678
5,697	-10,5	-1,558
5,721	-9,5	-1,438
5,745	-9	-1,318
5,769	-7,5	-1,198
5,793	-7	-1,078
5,817	-6	-0,958
5,841	-5,5	-0,838
