Time (s)	Load (N)	Displacement (mm)
108,365	-3	-1,385
108,389	-2,5	-1,265
108,413	-2	-1,15
108,437	-2	-1,025
108,461	-1,5	-0,91
108,485	-0,5	-0,785
108,509	-0,5	-0,665
108,533	0	-0,545
108,557	0	-0,425
108,581	0	-0,31
108,605	0,5	-0,212
108,629	1	-0,143
108,653	1	-0,1
108,677	1	-0,069
108,701	1,5	-0,047
108,725	1,5	-0,032
108,749	1,5	-0,023
108,773	1,5	-0,016
108,797	1,5	-0,01
108,821	1,5	-0,007
108,845	1,5	-0,005
108,869	1,5	-0,004
108,893	1,5	-0,002
108,917	1,5	-0,002
108,941	2	-0,001
108,965	1,5	-0,001
108,99	1,5	-0,001
109,013	1,5	-0,015
109,037	1,5	-0,149
109,061	1,5	-0,281
109,085	1	-0,397
109,109	0,5	-0,517
109,133	0	-0,637
109,157	-0,5	-0,757
109,181	-0,5	-0,882
109,205	-1,5	-0,997
109,229	-2	-1,117
109,253	-2,5	-1,237
109,277	-2,5	-1,357
109,301	-3	-1,477
109,325	-3,5	-1,597
109,349	-4	-1,717
109,373	-4,5	-1,837
109,397	-4,5	-1,957
109,421	-5	-2,077
109,445	-5,5	-2,197
109,469	-6	-2,317
109,493	-6	-2,437
109,517	-7,5	-2,557
109,541	-7,5	-2,677
109,565	-9	-2,802
109,589	-9	-2,917
109,613	-10	-3,037
109,637	-10,5	-3,162
109,661	-11	-3,28
109,685	-12	-3,336
109,709	-12,5	-3,389
109,733	-13	-3,424
109,757	-13,5	-3,447
109,781	-13,5	-3,463
109,805	-14	-3,475
109,829	-14	-3,482
109,853	-14	-3,488
109,877	-14	-3,492
109,901	-14	-3,494
109,925	-14,5	-3,496
109,949	-14,5	-3,498
109,973	-14,5	-3,498
109,997	-14,5	-3,499
110,021	-14,5	-3,499
110,045	-14,5	-3,499
110,069	-14,5	-3,5
110,093	-14,5	-3,406
110,117	-14,5	-3,267
110,141	-14	-3,15
110,165	-12,5	-3,024
110,189	-12	-2,908
110,213	-11	-2,788
110,237	-10,5	-2,668
110,261	-9,5	-2,543
110,285	-8,5	-2,428
110,309	-8	-2,303
110,333	-7,5	-2,188
110,357	-6,5	-2,068
110,381	-6	-1,948
110,405	-5	-1,818
110,429	-4,5	-1,703
110,453	-4	-1,583
110,477	-3	-1,468
110,501	-3	-1,348
110,525	-2	-1,228
110,549	-1,5	-1,108
110,573	-1,5	-0,983
110,597	-1	-0,868
110,621	-1	-0,743
110,645	0	-0,623
110,669	0	-0,508
110,693	0	-0,383
110,717	0,5	-0,27
110,741	0,5	-0,185
110,765	1	-0,128
110,789	1,5	-0,086
110,813	1,5	-0,06
110,837	1,5	-0,042
110,861	1,5	-0,029
110,885	1,5	-0,02
110,909	1,5	-0,014
110,933	1,5	-0,009
110,957	1,5	-0,006
110,981	2	-0,005
111,005	2	-0,003
111,029	2	-0,002
111,053	1,5	-0,002
111,077	1,5	-0,001
111,101	1,5	-0,001
111,125	1,5	-0,004
111,155	1,5	-0,125
111,179	1,5	-0,254
111,203	1,5	-0,375
111,227	0,5	-0,501
111,251	0	-0,621
111,275	0	-0,736
111,298	-0,5	-0,861
111,323	-1	-0,976
111,347	-2	-1,101
111,371	-2,5	-1,221
111,395	-2,5	-1,341
111,419	-3	-1,456
111,443	-3	-1,581
111,467	-4	-1,701
111,492	-4	-1,821
111,515	-4,5	-1,936
111,538	-5	-2,056
111,562	-5	-2,176
111,586	-6	-2,296
111,611	-6,5	-2,421
111,635	-7	-2,541
111,659	-7,5	-2,661
111,683	-8,5	-2,781
111,707	-9	-2,931
111,737	-10	-3,046
111,761	-10,5	-3,171
111,785	-11,5	-3,272
111,808	-12	-3,346
111,833	-12,5	-3,392
111,856	-13,5	-3,426
111,88	-13,5	-3,45
111,905	-14	-3,464
111,928	-14	-3,476
111,952	-14	-3,483
111,977	-14	-3,488
112	-14,5	-3,492
112,025	-14,5	-3,495
112,049	-14,5	-3,497
112,073	-14,5	-3,498
112,096	-14,5	-3,498
112,121	-14,5	-3,499
112,145	-14,5	-3,499
112,169	-14	-3,5
112,193	-14	-3,492
112,217	-14	-3,37
112,241	-14,5	-3,242
112,265	-13	-3,114
112,288	-12	-2,999
112,313	-11,5	-2,874
112,336	-11	-2,759
112,36	-10	-2,634
112,385	-9	-2,514
112,409	-8,5	-2,394
112,432	-7,5	-2,274
112,457	-7,5	-2,154
112,481	-6,5	-2,034
112,505	-5,5	-1,914
112,529	-5	-1,794
112,552	-4,5	-1,678
112,576	-4	-1,554
112,6	-3,5	-1,438
112,625	-2,5	-1,314
112,649	-2	-1,194
112,673	-1,5	-1,078
112,696	-1,5	-0,954
112,72	-1	-0,834
112,744	-0,5	-0,714
112,769	0	-0,594
112,793	0	-0,474
112,816	0	-0,359
112,84	0	-0,239
112,864	1	-0,167
112,888	1	-0,115
112,912	1,5	-0,079
112,936	1,5	-0,056
112,96	1,5	-0,038
112,985	1,5	-0,026
113,009	1,5	-0,019
113,033	1,5	-0,012
113,056	1,5	-0,008
113,08	1,5	-0,006
113,104	1,5	-0,004
113,129	1,5	-0,003
113,153	1,5	-0,002
113,177	1,5	-0,002
113,201	1,5	-0,001
113,225	1,5	-0,001
113,248	1,5	0
113,272	1,5	-0,083
113,296	1,5	-0,21
113,32	1,5	-0,337
113,345	1	-0,457
113,369	0	-0,568
113,392	0	-0,698
113,416	-0,5	-0,808
113,44	-1	-0,938
113,465	-1,5	-1,058
113,489	-2	-1,178
113,512	-2,5	-1,293
113,536	-3	-1,418
113,561	-3	-1,538
113,584	-3,5	-1,658
113,61	-4	-1,778
