Time (s)	Load (N)	Displacement (mm)
0	0	-0,035
0,022	0	-0,176
0,046	0	-0,307
0,07	0	-0,424
0,097	-0,5	-0,544
0,118	-1,5	-0,664
0,142	-2,5	-0,814
0,177	-3,5	-0,964
0,202	-4,5	-1,084
0,226	-5	-1,294
0,268	-6	-1,439
0,298	-7,5	-1,564
0,322	-8	-1,684
0,346	-9	-1,829
0,377	-10,5	-1,984
0,412	-11	-2,134
0,436	-12,5	-2,254
0,46	-13	-2,404
0,493	-13,5	-2,529
0,514	-14,5	-2,644
0,538	-15,5	-2,774
0,562	-16,5	-2,914
0,592	-17,5	-3,034
0,62	-18,5	-3,184
0,646	-19,5	-3,327
0,682	-20,5	-3,377
0,71	-21	-3,418
0,73	-21,5	-3,442
0,76	-21,5	-3,464
0,788	-22	-3,477
0,814	-22	-3,484
0,844	-21,5	-3,49
0,868	-21,5	-3,494
0,898	-21,5	-3,496
0,922	-21,5	-3,497
0,946	-21,5	-3,498
0,976	-21	-3,498
1	-21	-3,499
1,024	-21	-3,499
1,054	-21	-3,5
1,084	-21	-3,406
1,108	-21	-3,273
1,132	-21	-3,15
1,157	-19,5	-3,025
1,18	-18,5	-2,909
1,204	-18	-2,789
1,228	-17	-2,669
1,252	-16	-2,539
1,276	-14,5	-2,429
1,302	-14	-2,309
1,329	-13	-2,124
1,36	-12	-2,009
1,384	-11	-1,889
1,411	-10,5	-1,764
1,432	-9,5	-1,644
1,461	-8	-1,499
1,486	-7,5	-1,379
1,515	-6	-1,229
1,544	-5,5	-1,079
1,57	-5	-0,959
1,594	-4,5	-0,809
1,627	-3	-0,689
1,648	-3	-0,549
1,678	-2	-0,419
1,702	-1,5	-0,276
1,732	-1	-0,175
1,762	0	-0,117
1,787	0	-0,081
1,81	0	-0,056
1,834	0,5	-0,038
1,858	0,5	-0,025
1,882	0,5	-0,018
1,911	1	-0,012
1,936	0,5	-0,008
1,96	1	-0,005
1,994	0,5	-0,003
2,02	0,5	-0,002
2,05	1	-0,001
2,074	1	-0,001
2,098	0,5	0
2,128	1	-0,043
2,158	1	-0,175
2,182	0,5	-0,325
2,212	0	-0,456
2,237	-0,5	-0,576
2,26	-1	-0,702
2,284	-1,5	-0,816
2,311	-2,5	-0,936
2,332	-3	-1,056
2,365	-4,5	-1,206
2,386	-5	-1,326
2,41	-5,5	-1,477
2,445	-6	-1,626
2,47	-7	-1,746
2,494	-7,5	-1,897
2,529	-8,5	-2,046
2,554	-9	-2,166
2,578	-10,5	-2,286
2,602	-11	-2,406
2,626	-11,5	-2,556
2,656	-13	-2,676
2,68	-13,5	-2,796
2,704	-14,5	-2,916
2,728	-15	-3,066
2,758	-16,5	-3,186
2,786	-17	-3,317
2,818	-19	-3,378
2,845	-19,5	-3,416
2,866	-19,5	-3,442
2,895	-20,5	-3,464
2,92	-20,5	-3,475
2,948	-20,5	-3,485
2,974	-20,5	-3,489
3	-20,5	-3,492
3,023	-21	-3,495
3,046	-21	-3,496
3,07	-21	-3,497
3,094	-20,5	-3,498
3,118	-20,5	-3,499
3,147	-20,5	-3,499
