Time (s)	Load (N)	Displacement (mm)
6,015	-0,5	-0,172
6,039	-0,5	-0,122
6,063	0	-0,081
6,087	0	-0,056
6,111	0,5	-0,039
6,135	1	-0,026
6,159	1	-0,018
6,183	1	-0,013
6,207	1	-0,009
6,231	1	-0,006
6,255	1	-0,004
6,279	1	-0,002
6,303	1	-0,002
6,327	1	-0,001
6,351	1	-0,001
6,375	1	0
6,399	1	-0,036
6,423	1	-0,175
6,447	1	-0,3
6,471	0	-0,421
6,495	0	-0,541
6,519	-1	-0,661
6,543	-1,5	-0,781
6,567	-2	-0,902
6,591	-3,5	-1,022
6,615	-3,5	-1,141
6,639	-4,5	-1,256
6,663	-5	-1,376
6,687	-5	-1,501
6,711	-6	-1,622
6,735	-7	-1,742
6,759	-7,5	-1,861
6,783	-8	-1,982
6,807	-9	-2,102
6,832	-10	-2,216
6,855	-10,5	-2,341
6,879	-11	-2,461
6,903	-12	-2,581
6,927	-12,5	-2,701
6,951	-14	-2,821
6,975	-14,5	-2,942
6,999	-15	-3,062
7,023	-15,5	-3,176
7,047	-16,5	-3,282
7,071	-18	-3,35
7,095	-18	-3,397
7,119	-19	-3,429
7,143	-19,5	-3,451
7,167	-19,5	-3,466
7,191	-20	-3,476
7,215	-20	-3,484
7,239	-20,5	-3,489
7,263	-20,5	-3,492
7,287	-20,5	-3,495
7,311	-20,5	-3,496
7,335	-20	-3,497
7,359	-20	-3,498
7,383	-20	-3,499
7,407	-20,5	-3,499
7,431	-20,5	-3,499
7,455	-20,5	-3,5
7,479	-20	-3,429
7,503	-20	-3,294
7,527	-20	-3,17
7,551	-19	-3,05
7,575	-19	-2,934
7,599	-17	-2,809
7,623	-16	-2,689
7,647	-15,5	-2,569
7,671	-14,5	-2,449
7,695	-13,5	-2,329
7,719	-12,5	-2,209
7,743	-12	-2,089
7,767	-11	-1,969
7,791	-9,5	-1,849
7,815	-9	-1,728
7,839	-8,5	-1,609
7,863	-7,5	-1,489
7,887	-7	-1,369
7,911	-6	-1,249
7,935	-5	-1,129
7,959	-4,5	-1,008
7,983	-4	-0,889
8,007	-3,5	-0,768
8,031	-2,5	-0,649
8,055	-2	-0,529
8,079	-1,5	-0,409
8,103	-1	-0,29
8,127	-0,5	-0,18
8,157	0	-0,124
8,181	0	-0,086
8,205	0	-0,06
8,229	0,5	-0,041
8,253	1	-0,028
8,277	1	-0,019
8,301	1	-0,014
8,325	1	-0,01
8,349	1	-0,006
8,373	1	-0,004
8,397	1	-0,003
8,421	1	-0,002
8,445	1	-0,001
8,469	1	-0,001
8,493	1	0
8,517	1	-0,019
8,541	1	-0,153
8,565	1	-0,278
8,589	0,5	-0,399
8,613	0	-0,52
8,637	-0,5	-0,64
8,661	-1,5	-0,76
8,685	-2	-0,88
8,709	-2,5	-1
8,733	-3,5	-1,12
8,757	-4	-1,24
8,781	-4,5	-1,36
8,805	-5	-1,48
8,829	-5,5	-1,6
8,853	-6,5	-1,72
8,877	-7,5	-1,84
8,901	-8	-1,96
8,925	-8,5	-2,08
8,949	-9	-2,2
8,973	-10,5	-2,32
8,997	-10,5	-2,44
9,021	-12	-2,56
9,045	-12,5	-2,68
9,069	-13	-2,8
9,093	-14,5	-2,92
9,117	-14,5	-3,035
9,141	-15,5	-3,155
9,165	-16,5	-3,268
9,189	-17	-3,34
9,213	-18,5	-3,39
9,237	-19	-3,423
9,261	-19,5	-3,448
9,285	-19,5	-3,464
9,309	-19,5	-3,475
9,333	-20	-3,483
9,357	-20	-3,489
9,381	-20	-3,492
9,405	-20	-3,494
9,429	-20	-3,496
9,453	-20	-3,497
9,477	-20	-3,498
9,501	-20	-3,499
9,525	-20	-3,499
9,549	-20	-3,499
9,573	-20	-3,5
9,597	-20	-3,47
9,621	-20	-3,332
9,645	-20	-3,208
9,669	-19,5	-3,086
9,693	-18	-2,966
9,717	-17	-2,846
9,741	-16	-2,726
9,765	-15,5	-2,606
9,789	-15	-2,486
9,813	-13,5	-2,366
9,837	-12,5	-2,246
9,861	-12	-2,126
9,885	-11	-2,006
9,909	-11	-1,886
9,933	-9	-1,766
9,957	-9	-1,651
9,981	-8	-1,526
10,005	-7	-1,406
10,029	-6,5	-1,286
10,053	-5,5	-1,166
10,077	-5	-1,046
10,101	-4,5	-0,926
10,125	-3,5	-0,806
10,149	-3	-0,686
10,173	-2	-0,566
10,197	-1,5	-0,446
10,222	-1	-0,326
10,245	-0,5	-0,222
10,269	0	-0,153
10,293	0	-0,105
10,317	0,5	-0,072
10,341	0,5	-0,05
10,365	0,5	-0,035
10,389	1	-0,024
10,413	1	-0,016
10,437	1	-0,012
10,461	1	-0,008
10,485	1	-0,005
10,509	1,5	-0,004
10,533	1	-0,002
10,557	1	-0,002
10,581	1	-0,001
10,605	1	-0,001
10,629	1	0
10,653	1	-0,085
10,677	1	-0,214
10,701	0,5	-0,342
10,725	0	-0,462
10,749	0	-0,578
10,773	-1	-0,703
10,797	-1,5	-0,823
10,821	-2,5	-0,943
10,845	-3	-1,063
10,869	-3,5	-1,183
10,893	-4,5	-1,303
10,917	-5	-1,423
10,941	-5,5	-1,543
10,965	-6	-1,663
10,989	-6,5	-1,784
11,013	-7	-1,904
11,037	-8	-2,018
11,061	-9	-2,138
11,085	-9,5	-2,259
11,109	-10	-2,384
11,133	-11,5	-2,498
11,157	-12	-2,624
11,181	-12,5	-2,739
11,205	-13,5	-2,864
11,229	-14	-2,984
11,253	-15	-3,099
11,277	-16	-3,222
11,301	-16,5	-3,306
11,325	-17,5	-3,367
11,349	-18	-3,41
11,373	-19	-3,438
11,397	-19,5	-3,457
11,421	-19,5	-3,47
11,445	-19,5	-3,48
11,469	-20	-3,486
11,493	-20	-3,491
11,517	-20	-3,494
11,541	-20	-3,495
11,565	-20	-3,496
11,589	-20	-3,498
11,613	-20	-3,498
11,637	-20	-3,499
11,661	-20	-3,499
11,685	-20	-3,5
11,709	-20	-3,5
11,733	-20	-3,449
11,757	-19,5	-3,31
11,781	-19,5	-3,192
11,805	-19	-3,066
11,829	-18,5	-2,946
11,853	-16,5	-2,831
11,877	-15,5	-2,706
11,901	-15	-2,586
11,925	-14,5	-2,466
11,949	-13,5	-2,346
11,973	-12	-2,226
11,997	-11,5	-2,106
12,021	-10,5	-1,985
12,045	-10	-1,87
12,069	-9,5	-1,746
12,093	-8	-1,626
12,117	-7,5	-1,506
12,141	-7,5	-1,386
12,165	-6	-1,266
12,189	-5,5	-1,146
12,213	-4,5	-1,026
12,237	-4	-0,906
12,261	-3	-0,786
12,285	-3	-0,666
12,309	-2,5	-0,546
12,333	-1	-0,425
12,357	-0,5	-0,305
12,381	-0,5	-0,212
12,405	0	-0,146
12,429	0	-0,099
12,453	0,5	-0,068
12,477	1	-0,047
12,501	1	-0,032
12,525	1	-0,022
12,549	1	-0,016
12,573	1	-0,011
12,597	1,5	-0,007
12,621	1	-0,005
12,645	1	-0,003
12,669	1	-0,002
12,693	1	-0,001
12,717	1	-0,001
12,741	1	0
12,765	1	-0,002
12,789	1	-0,124
12,813	0,5	-0,246
12,837	0,5	-0,368
12,861	0	-0,488
12,885	0	-0,604
12,909	-0,5	-0,724
12,933	-2	-0,848
12,957	-3	-0,969
12,981	-3	-1,084
13,005	-3,5	-1,204
13,029	-4,5	-1,329
13,053	-5	-1,449
13,077	-5,5	-1,569
13,101	-6	-1,689
13,125	-6,5	-1,804
13,149	-7	-1,924
13,173	-8,5	-2,049
13,197	-9	-2,164
13,221	-9,5	-2,289
13,245	-10,5	-2,409
13,269	-11	-2,524
13,293	-12	-2,644
13,317	-13	-2,764
13,341	-13,5	-2,889
