Time (s)	Load (N)	Displacement (mm)
46,914	2	-0,01
46,938	2	-0,007
46,963	2	-0,005
46,987	2,5	-0,004
47,011	2	-0,002
47,047	2,5	-0,001
47,071	2,5	-0,001
47,125	2	-0,015
47,149	2	-0,142
47,188	1,5	-0,335
47,209	1,5	-0,45
47,233	1,5	-0,631
47,269	-1,5	-0,756
47,293	-2	-0,871
47,317	-3	-0,991
47,34	-4,5	-1,111
47,365	-5	-1,231
47,388	-5,5	-1,351
47,427	-6	-1,651
47,473	-8	-1,776
47,497	-9	-1,891
47,521	-10,5	-2,016
47,545	-11	-2,131
47,584	-13	-2,406
47,623	-14,5	-2,526
47,647	-15	-2,721
47,689	-17,5	-2,851
47,712	-19,5	-3,036
47,749	-20	-3,151
47,773	-21	-3,319
47,815	-23	-3,376
47,838	-24	-3,414
47,862	-25	-3,441
47,886	-25,5	-3,46
47,911	-25,5	-3,472
47,935	-25,5	-3,481
47,959	-25,5	-3,488
47,995	-25,5	-3,492
48,019	-25,5	-3,496
48,055	-26	-3,497
48,11	-26	-3,499
48,133	-26	-3,499
48,157	-26	-3,5
48,193	-25,5	-3,489
48,217	-25,5	-3,352
48,241	-25,5	-3,23
48,265	-24,5	-3,078
48,294	-23,5	-2,832
48,343	-20,5	-2,712
48,367	-19,5	-2,512
48,408	-18	-2,387
48,432	-16,5	-2,192
48,469	-15	-2,082
48,493	-14	-1,967
48,517	-13	-1,787
48,552	-12	-1,667
48,576	-10	-1,547
48,6	-8,5	-1,422
48,625	-7,5	-1,307
48,648	-6,5	-1,127
48,684	-5	-1,002
48,709	-4,5	-0,887
48,733	-3,5	-0,707
48,768	-2,5	-0,587
48,792	-1,5	-0,467
48,816	-1	-0,347
48,84	0	-0,234
48,865	0	-0,163
48,888	0,5	-0,112
48,912	1	-0,078
48,936	1,5	-0,053
48,96	1,5	-0,037
48,984	2	-0,026
49,008	2	-0,018
49,033	2	-0,012
49,056	2	-0,008
49,08	2	-0,006
49,104	2	-0,004
49,141	2	-0,002
49,165	2,5	-0,002
49,217	2	-0,001
49,26	2	-0,026
49,285	2,5	-0,158
49,309	2	-0,344
49,344	1	-0,465
49,368	0	-0,585
49,392	-0,5	-0,71
49,417	-1,5	-0,826
49,441	-3	-1,066
49,502	-5,5	-1,251
49,525	-6	-1,366
49,548	-6	-1,541
49,585	-7,5	-1,671
49,608	-8	-1,786
49,632	-9	-1,906
49,657	-10,5	-2,031
49,681	-11,5	-2,146
49,704	-12,5	-2,266
49,728	-13	-2,386
49,752	-14	-2,506
49,776	-15	-2,626
49,8	-16,5	-2,746
49,824	-17,5	-2,986
49,886	-20,5	-3,171
49,909	-21,5	-3,272
49,932	-22,5	-3,37
49,968	-23	-3,41
49,992	-24,5	-3,438
50,016	-25	-3,457
50,04	-25,5	-3,47
50,064	-25,5	-3,48
50,088	-25,5	-3,486
50,112	-26	-3,49
50,137	-26	-3,493
50,161	-26	-3,496
50,204	-26	-3,498
