Time (s)	Load (N)	Displacement (mm)
0	-1	-0,034
0,024	-1	-0,176
0,047	-1	-0,301
0,072	-1,5	-0,417
0,096	-3,5	-0,542
0,12	-4,5	-0,662
0,143	-5,5	-0,813
0,174	-7,5	-0,933
0,197	-8	-1,053
0,222	-9	-1,173
0,246	-10	-1,293
0,27	-11	-1,413
0,295	-13	-1,533
0,317	-13,5	-1,653
0,342	-15	-1,773
0,366	-15	-1,893
0,39	-16,5	-2,013
0,415	-18,5	-2,128
0,438	-19,5	-2,253
0,462	-20	-2,373
0,486	-21	-2,493
0,509	-22	-2,613
0,533	-24	-2,733
0,558	-24,5	-2,848
0,583	-25,5	-2,973
0,606	-26,5	-3,093
0,63	-27,5	-3,208
0,654	-29	-3,303
0,678	-30	-3,377
0,708	-30,5	-3,415
0,733	-31,5	-3,441
0,756	-31,5	-3,459
0,779	-31,5	-3,472
0,804	-31,5	-3,481
0,828	-31,5	-3,486
0,852	-31,5	-3,491
0,876	-31,5	-3,494
0,9	-31,5	-3,496
0,924	-31,5	-3,497
0,948	-31,5	-3,498
0,972	-31,5	-3,499
0,996	-31	-3,499
1,019	-31	-3,499
1,043	-31	-3,5
1,067	-31	-3,492
1,091	-31	-3,364
1,115	-30,5	-3,236
1,139	-29,5	-3,113
1,163	-29	-2,993
1,188	-27	-2,872
1,213	-26,5	-2,752
1,236	-24	-2,632
1,259	-23,5	-2,517
1,284	-22,5	-2,397
1,307	-21,5	-2,272
1,331	-21	-2,147
1,355	-18,5	-2,032
1,379	-17,5	-1,912
1,403	-16,5	-1,792
1,427	-15,5	-1,677
1,451	-14,5	-1,552
1,477	-13	-1,432
1,5	-12	-1,312
1,523	-11	-1,192
1,547	-9,5	-1,042
1,577	-8,5	-0,922
1,602	-7,5	-0,802
1,625	-6,5	-0,682
1,649	-6	-0,562
1,673	-4,5	-0,442
1,697	-4	-0,322
1,721	-3	-0,22
1,747	-2	-0,151
1,769	-1,5	-0,104
1,793	-1	-0,072
1,817	-0,5	-0,05
1,841	0	-0,034
1,865	0	-0,023
1,889	0	-0,016
1,913	0	-0,011
1,937	0	-0,008
1,961	0	-0,005
1,985	0	-0,004
2,009	0	-0,003
2,033	0	-0,002
2,057	0	-0,001
2,081	0	-0,001
2,105	0	-0,262
2,213	-1	-0,394
2,237	-1,5	-0,514
2,262	-2,5	-0,634
2,285	-3,5	-0,754
2,309	-4,5	-0,874
2,333	-5,5	-0,994
2,357	-7	-1,114
2,381	-7,5	-1,23
2,405	-8,5	-1,354
2,429	-9	-1,474
2,453	-10,5	-1,594
2,477	-11,5	-1,714
2,501	-12,5	-1,834
2,525	-13,5	-1,984
2,555	-15	-2,104
2,579	-16	-2,224
2,603	-17	-2,344
2,627	-18	-2,464
2,651	-18,5	-2,584
2,675	-20,5	-2,704
2,7	-21,5	-2,824
2,723	-22,5	-2,944
2,747	-23,5	-3,064
2,771	-24	-3,184
2,795	-26	-3,284
2,819	-27	-3,352
2,843	-28	-3,398
2,867	-28,5	-3,43
2,891	-29	-3,452
2,915	-30	-3,467
2,939	-30	-3,477
2,963	-30	-3,484
2,987	-30	-3,489
3,011	-30,5	-3,492
3,035	-30	-3,495
3,059	-30,5	-3,497
3,083	-30,5	-3,498
3,107	-30	-3,498
3,131	-30	-3,499
3,155	-30	-3,499
3,179	-30	-3,5
3,203	-30	-3,486
3,227	-30	-3,352
3,251	-30	-3,225
