Time (s)	Load (N)	Displacement (mm)
0	0	-0,035
0,023	0	-0,177
0,047	0	-0,303
0,071	0	-0,424
0,097	-1	-0,545
0,119	-2	-0,665
0,143	-3,5	-0,785
0,167	-4	-0,905
0,191	-5	-1,026
0,215	-5,5	-1,146
0,243	-7	-1,295
0,269	-7,5	-1,416
0,294	-8,5	-1,54
0,317	-9	-1,655
0,341	-10,5	-1,775
0,365	-11,5	-1,896
0,389	-12	-2,016
0,413	-13	-2,136
0,437	-13,5	-2,256
0,461	-15	-2,376
0,485	-15,5	-2,526
0,515	-16,5	-2,651
0,539	-17,5	-2,766
0,563	-19	-2,886
0,587	-19,5	-3,001
0,611	-20,5	-3,126
0,635	-21	-3,241
0,659	-22	-3,328
0,683	-23	-3,378
0,707	-23,5	-3,416
0,731	-24	-3,442
0,755	-24	-3,46
0,779	-24	-3,472
0,803	-24	-3,48
0,827	-24	-3,488
0,851	-24	-3,491
0,875	-24	-3,494
0,899	-24	-3,496
0,923	-24	-3,497
0,947	-24	-3,498
0,971	-24	-3,498
0,995	-24	-3,499
1,019	-24	-3,499
1,043	-24	-3,499
1,067	-24	-3,5
1,091	-23,5	-3,494
1,115	-23,5	-3,372
1,139	-23,5	-3,243
1,163	-23	-3,12
1,187	-22	-3
1,212	-21	-2,88
1,235	-20	-2,759
1,259	-19	-2,639
1,283	-18	-2,519
1,307	-16,5	-2,399
1,331	-15,5	-2,279
1,355	-15	-2,159
1,379	-14	-2,039
1,403	-12,5	-1,919
1,427	-12	-1,799
1,451	-11	-1,679
1,475	-10	-1,559
1,499	-9,5	-1,439
1,523	-8	-1,319
1,547	-8	-1,199
1,571	-6,5	-1,08
1,595	-5,5	-0,96
1,619	-5	-0,84
1,643	-4	-0,72
1,667	-4	-0,599
1,691	-3	-0,48
1,715	-2,5	-0,36
1,739	-1,5	-0,248
1,763	-0,5	-0,17
1,787	-0,5	-0,117
1,811	0	-0,081
1,835	0	-0,056
1,859	0	-0,039
1,883	0	-0,026
1,907	0,5	-0,018
1,931	0,5	-0,013
1,955	0,5	-0,009
1,979	0,5	-0,006
2,003	0,5	-0,004
2,027	0,5	-0,002
2,051	0,5	-0,002
2,075	0,5	-0,001
2,099	0,5	-0,001
2,123	0,5	-0,001
2,147	0,5	-0,006
2,171	0,5	-0,132
2,195	0,5	-0,259
2,219	0,5	-0,381
2,243	0	-0,501
2,267	-1	-0,622
2,291	-1,5	-0,737
2,315	-2,5	-0,862
2,339	-3	-0,982
2,363	-4,5	-1,092
2,387	-5	-1,222
2,411	-5,5	-1,342
2,435	-6	-1,462
2,459	-6,5	-1,582
2,483	-8	-1,702
2,507	-8,5	-1,822
2,531	-9	-1,942
2,555	-10	-2,062
2,579	-10,5	-2,182
2,603	-12	-2,302
2,627	-12,5	-2,427
2,651	-13,5	-2,542
2,675	-14	-2,662
2,699	-15	-2,782
2,723	-16,5	-2,902
2,747	-17	-3,022
2,771	-18	-3,142
