Time (s)	Load (N)	Displacement (mm)
0	0	-0,026
0,023	0	-0,163
0,045	0	-0,288
0,071	0	-0,41
0,093	-1	-0,53
0,117	-1,5	-0,65
0,141	-2,5	-0,77
0,165	-3	-0,89
0,189	-4,5	-1,011
0,213	-4,5	-1,131
0,238	-5,5	-1,251
0,261	-6	-1,371
0,285	-6,5	-1,496
0,309	-8	-1,611
0,333	-8,5	-1,73
0,357	-9,5	-1,851
0,381	-10	-1,971
0,405	-11,5	-2,09
0,429	-12	-2,211
0,453	-12,5	-2,331
0,477	-13,5	-2,451
0,501	-14	-2,571
0,525	-15	-2,766
0,562	-15,5	-2,871
0,585	-16,5	-2,991
0,609	-18	-3,11
0,633	-18,5	-3,228
0,657	-19	-3,314
0,681	-19,5	-3,372
0,705	-20	-3,412
0,729	-21	-3,439
0,753	-21	-3,458
0,777	-21	-3,471
0,801	-21	-3,48
0,825	-21	-3,486
0,849	-21	-3,49
0,873	-21	-3,493
0,897	-21	-3,495
0,921	-21	-3,497
0,945	-20,5	-3,498
0,969	-20,5	-3,499
0,993	-20,5	-3,499
1,017	-20,5	-3,499
1,041	-20	-3,5
1,065	-20	-3,46
1,089	-20	-3,322
1,113	-19,5	-3,198
1,137	-19	-3,077
1,161	-18,5	-2,957
1,185	-17,5	-2,836
1,209	-15,5	-2,717
1,233	-15	-2,596
1,257	-14,5	-2,472
1,281	-13,5	-2,356
1,305	-13	-2,236
1,329	-11,5	-2,116
1,353	-10,5	-1,996
1,377	-10	-1,876
1,401	-9,5	-1,756
1,425	-9	-1,636
1,449	-7,5	-1,516
1,473	-6,5	-1,396
1,497	-6	-1,276
1,521	-5,5	-1,141
1,545	-5	-1,036
1,569	-4	-0,916
1,593	-3,5	-0,796
1,617	-3	-0,676
1,641	-2,5	-0,556
1,665	-2	-0,436
1,689	-1	-0,316
1,713	-0,5	-0,216
1,737	0	-0,148
1,761	0	-0,102
1,785	0	-0,07
1,809	0,5	-0,048
1,833	0,5	-0,033
1,857	0,5	-0,023
1,881	1	-0,016
1,905	1	-0,011
1,929	1	-0,008
1,953	1	-0,005
1,977	1	-0,004
2,001	1	-0,003
2,025	1	-0,002
2,049	1	-0,001
2,073	1	-0,001
2,115	1	-0,001
2,139	1	-0,002
2,163	1	-0,114
2,187	1	-0,241
2,211	0,5	-0,364
2,235	0	-0,484
2,259	0	-0,605
2,283	-1	-0,725
2,307	-2	-0,845
2,331	-2,5	-0,965
2,355	-3,5	-1,085
2,379	-4	-1,205
2,403	-4,5	-1,325
2,427	-5,5	-1,445
2,451	-5,5	-1,565
2,475	-6	-1,685
2,499	-6,5	-1,805
2,523	-7,5	-1,925
2,547	-8	-2,045
2,571	-9	-2,165
2,595	-9,5	-2,285
2,619	-10	-2,405
2,643	-10,5	-2,525
2,667	-12	-2,645
2,691	-12,5	-2,765
2,715	-13,5	-2,885
2,739	-14	-3,005
2,763	-14,5	-3,125
2,787	-15,5	-3,236
