Time (s)	Load (N)	Displacement (mm)
42,21	-5,5	-0,869
42,245	-4	-0,724
42,275	-3	-0,604
42,299	-1,5	-0,484
42,323	-1	-0,364
42,347	-0,5	-0,248
42,372	0	-0,172
42,395	0,5	-0,099
42,431	1,5	-0,067
42,455	2	-0,037
42,491	2,5	-0,026
42,516	2,5	-0,018
42,539	3	-0,011
42,575	3	-0,008
42,599	3	-0,005
42,624	3	-0,003
42,647	3	-0,002
42,69	3	-0,001
42,713	3	-0,001
42,76	3	-0,031
42,785	3	-0,181
42,81	3	-0,356
42,845	1,5	-0,572
42,888	-0,5	-0,692
42,911	-1,5	-0,857
42,941	-3,5	-0,967
42,966	-4,5	-1,077
42,989	-5,5	-1,202
43,014	-6	-1,318
43,037	-7,5	-1,502
43,074	-8	-1,618
43,097	-9,5	-1,802
43,134	-10,5	-1,922
43,157	-12	-2,038
43,181	-13	-2,158
43,205	-14	-2,282
43,229	-15	-2,397
43,253	-15,5	-2,518
43,277	-17,5	-2,753
43,325	-19,5	-2,883
43,349	-21	-3,063
43,385	-23	-3,178
43,41	-24	-3,284
43,433	-25	-3,349
43,469	-27	-3,416
43,494	-28	-3,44
43,532	-29	-3,466
43,553	-29,5	-3,476
43,577	-29,5	-3,485
43,602	-29,5	-3,489
43,638	-29,5	-3,494
43,662	-30	-3,495
43,685	-30	-3,497
43,721	-30	-3,498
43,745	-30	-3,499
43,769	-30	-3,499
43,794	-30	-3,499
43,817	-29,5	-3,5
43,841	-29,5	-3,382
43,878	-29,5	-3,247
43,901	-28,5	-3,13
43,937	-26	-2,949
43,961	-25	-2,829
43,985	-23,5	-2,699
44,01	-22,5	-2,589
44,034	-21,5	-2,464
44,057	-19	-2,349
44,081	-18	-2,164
44,118	-15,5	-2,044
44,141	-15	-1,809
44,189	-14	-1,689
44,213	-14	-1,569
44,237	-9,5	-1,439
44,262	-9	-1,324
44,285	-8	-1,209
44,309	-7	-1,029
44,346	-5	-0,904
44,369	-4,5	-0,794
44,393	-3,5	-0,669
44,432	-2	-0,479
44,454	-1,5	-0,369
44,477	0	-0,232
44,507	0	-0,16
44,531	1	-0,107
44,555	2	-0,075
44,579	2	-0,053
44,626	2,5	-0,024
44,652	3	-0,017
44,685	3	-0,01
44,711	3	-0,007
44,735	3	-0,004
44,759	3	-0,003
44,783	3	-0,002
44,807	3	-0,001
44,831	3	-0,001
44,862	3	0
44,885	3	-0,108
44,921	2,5	-0,248
44,946	2	-0,36
44,969	1,5	-0,48
44,993	0	-0,61
45,017	-1,5	-0,826
45,059	-3,5	-0,931
45,083	-4,5	-1,061
45,107	-5,5	-1,171
45,131	-6	-1,291
45,155	-6,5	-1,411
45,179	-8	-1,531
45,203	-8,5	-1,651
45,227	-9,5	-1,836
45,263	-11	-1,961
45,287	-12	-2,066
45,321	-14	-2,261
45,348	-15	-2,371
45,371	-15	-2,521
45,401	-17,5	-2,636
45,425	-18,5	-2,866
45,467	-20,5	-2,976
45,491	-21,5	-3,091
45,515	-22,5	-3,253
45,545	-24,5	-3,325
45,569	-26	-3,378
45,605	-28	-3,431
45,63	-28,5	-3,451
45,664	-29	-3,473
45,69	-29,5	-3,48
45,713	-29,5	-3,488
45,743	-30	-3,492
45,767	-30	-3,494
45,799	-30	-3,496
45,827	-30	-3,498
45,851	-30	-3,498
45,875	-30	-3,499
45,899	-30	-3,499
45,923	-30	-3,499
45,947	-30	-3,5
45,972	-30	-3,476
45,995	-30	-3,274
46,031	-29,5	-3,12
46,061	-27	-2,989
46,085	-25,5	-2,879
46,109	-24,5	-2,759
46,133	-23,5	-2,639
46,157	-21	-2,519
46,181	-19,5	-2,399
46,205	-19	-2,244
46,236	-16,5	-2,129
46,259	-15	-2,004
46,283	-14,5	-1,764
46,331	-12,5	-1,639
46,355	-11,5	-1,469
46,391	-9,5	-1,349
46,415	-8,5	-1,229
46,439	-6,5	-1,099
46,463	-5,5	-0,989
46,487	-5	-0,869
46,511	-3,5	-0,679
46,547	-2,5	-0,494
46,583	-1	-0,379
46,608	-0,5	-0,272
46,631	0	-0,186
46,655	0,5	-0,128
46,689	1,5	-0,072
46,715	2	-0,046
46,745	2,5	-0,032
46,783	3	-0,018
46,805	3	-0,013
46,838	3	-0,008
46,859	3	-0,006
46,883	3	-0,004
46,907	3	-0,002
46,937	3	-0,001
46,961	3	-0,001
46,997	3	-0,002
47,053	3	-0,278
47,087	2	-0,404
47,111	1	-0,58
47,147	-0,5	-0,695
47,171	-1,5	-0,82
47,195	-2,5	-0,935
47,219	-4,5	-1,085
47,249	-5,5	-1,21
47,273	-6	-1,395
47,309	-7,5	-1,505
47,333	-8	-1,625
47,357	-9,5	-1,745
47,381	-10,5	-1,9
47,411	-11	-2,015
47,435	-12	-2,145
47,459	-14	-2,255
47,483	-14,5	-2,405
47,513	-15,5	-2,53
47,537	-17,5	-2,645
47,573	-18,5	-2,83
47,597	-21	-2,955
47,621	-22	-3,065
47,645	-23	-3,248
47,681	-25	-3,327
47,705	-26,5	-3,377
47,729	-27	-3,417
47,763	-29	-3,453
47,789	-29	-3,467
47,813	-29,5	-3,481
47,863	-30	-3,49
47,885	-30	-3,492
47,909	-30	-3,495
47,933	-30	-3,497
47,969	-30	-3,498
47,993	-30	-3,499
48,029	-30	-3,499
48,053	-30	-3,499
48,077	-29,5	-3,489
48,113	-29,5	-3,36
48,137	-29,5	-3,228
48,168	-28,5	-3,081
48,191	-27	-2,956
48,215	-26	-2,841
48,239	-23,5	-2,721
48,263	-22,5	-2,6
48,287	-21	-2,48
