Time (s)	Load (N)	Displacement (mm)
83,067	-13	-1,804
83,091	-12	-1,684
83,115	-9,5	-1,564
83,139	-9	-1,444
83,169	-7,5	-1,29
83,193	-6	-1,17
83,217	-6	-1,025
83,247	-4	-0,905
83,271	-3,5	-0,785
83,295	-2	-0,665
83,319	-1,5	-0,545
83,343	-1	-0,425
83,367	0	-0,305
83,391	0	-0,208
83,415	1,5	-0,144
83,439	2	-0,082
83,475	3	-0,056
83,499	3	-0,039
83,534	3,5	-0,022
83,559	3,5	-0,016
83,583	3,5	-0,01
83,607	3,5	-0,007
83,631	3,5	-0,005
83,655	3,5	-0,003
83,679	3,5	-0,002
83,703	3,5	-0,002
83,727	3,5	-0,001
83,769	3,5	0
83,808	3,5	-0,084
83,841	3,5	-0,218
83,875	2,5	-0,407
83,901	1,5	-0,588
83,937	-0,5	-0,708
83,961	-1,5	-0,823
83,985	-2,5	-0,943
84,009	-3,5	-1,063
84,033	-5	-1,183
84,057	-5,5	-1,333
84,087	-6	-1,453
84,111	-7	-1,573
84,146	-8,5	-1,758
84,171	-10	-1,873
84,195	-10,5	-1,998
84,219	-11,5	-2,113
84,252	-13,5	-2,293
84,279	-14,5	-2,413
84,303	-15	-2,533
84,327	-16	-2,653
84,351	-17	-2,773
84,375	-19,5	-2,893
84,399	-20,5	-3,013
84,423	-21,5	-3,138
84,447	-22,5	-3,29
84,483	-24,5	-3,356
84,507	-26	-3,4
84,531	-27	-3,431
84,555	-28	-3,452
84,579	-28,5	-3,467
84,603	-28,5	-3,477
84,627	-28,5	-3,484
84,651	-29	-3,49
84,675	-29	-3,493
84,699	-29	-3,495
84,723	-29	-3,496
84,747	-29	-3,498
84,771	-29	-3,498
84,795	-29	-3,499
84,837	-29	-3,499
84,861	-29	-3,498
84,885	-29	-3,388
84,909	-29	-3,258
84,944	-27,5	-3,069
84,969	-26	-2,954
84,993	-24,5	-2,804
85,023	-22,5	-2,678
85,047	-21,5	-2,563
85,084	-19	-2,378
85,107	-18	-2,263
85,131	-16,5	-0,195
85,551	1,5	-0,102
85,593	3	-0,069
85,617	3	-0,048
85,641	3	-0,034
85,665	3,5	-0,023
85,689	3,5	-0,016
85,713	3,5	-0,011
85,737	3,5	-0,007
85,761	3,5	-0,005
85,785	3,5	-0,003
85,809	3,5	-0,002
85,845	3,5	-0,001
85,869	3,5	-0,001
85,893	3,5	0
85,948	3,5	-0,083
85,994	3	-0,337
86,019	2	-0,458
86,043	1	-0,608
86,073	0	-0,728
86,097	-2	-0,848
86,121	-3	-0,968
86,145	-4	-1,088
86,169	-5	-1,208
86,203	-6	-1,394
86,229	-6,5	-1,578
86,265	-8	-1,694
86,289	-8,5	-1,809
86,313	-10,5	-1,978
86,343	-11	-2,084
86,367	-13	-2,258
86,403	-13,5	-2,378
86,427	-15	-2,533
86,457	-16,5	-2,648
86,481	-17,5	-2,828
86,517	-19,5	-2,948
86,541	-21	-3,068
86,565	-22	-3,193
86,589	-23	-3,287
86,613	-25	-3,356
86,637	-26,5	-3,399
86,661	-27	-3,43
86,685	-28	-3,452
86,709	-28	-3,467
86,733	-28,5	-3,477
86,757	-29	-3,484
86,781	-29	-3,491
86,817	-29	-3,494
86,841	-29	-3,496
86,877	-29	-3,498
86,901	-29	-3,498
86,937	-29	-3,499
86,973	-29	-3,499
86,997	-29	-3,413
87,056	-28,5	-3,212
87,081	-28	-3,096
87,105	-26,5	-2,976
87,129	-24,5	-2,855
87,153	-22,5	-2,735
87,177	-22,5	-2,51
87,219	-19	-2,4
87,243	-18	-2,225
87,279	-15	-2,105
87,303	-14,5	-1,985
87,326	-13,5	-1,865
87,351	-11	-1,74
87,375	-10	-1,625
87,411	-8	-1,44
87,435	-7	-1,326
87,459	-6	-1,145
87,495	-4,5	-1,025
87,518	-4	-0,905
87,543	-3	-0,785
87,567	-2,5	-0,666
87,591	-1	-0,54
87,615	-0,5	-0,365
87,651	0	-0,252
87,674	1	-0,173
87,699	1,5	-0,12
87,723	2	-0,082
87,747	3	-0,057
87,771	3	-0,039
87,809	3,5	-0,022
87,831	3,5	-0,016
