Time (s)	Load (N)	Displacement (mm)
46,294	-24	-3,499
46,317	-24	-3,5
46,341	-24	-3,436
46,377	-24	-3,311
46,402	-23,5	-3,197
46,441	-22	-3,011
46,461	-22	-2,886
46,486	-22	-2,776
46,529	-18,5	-2,555
46,552	-18,5	-2,445
46,575	-18,5	-2,235
46,617	-14	-2,11
46,642	-13	-1,985
46,665	-12	-1,875
46,705	-10,5	-1,685
46,726	-9,5	-1,575
46,77	-8	-1,365
46,791	-7,5	-1,246
46,815	-5,5	-1,125
46,839	-5	-0,995
46,864	-4,5	-0,885
46,904	-3	-0,665
46,93	-2,5	-0,555
46,953	-1,5	-0,315
47,001	-0,5	-0,212
47,025	0	-0,112
47,068	0,5	-0,076
47,091	1	-0,052
47,132	1,5	-0,027
47,157	1,5	-0,019
47,181	1,5	-0,013
47,205	1,5	-0,009
47,229	1,5	-0,006
47,253	1,5	-0,004
47,278	1,5	-0,002
47,313	1,5	-0,002
47,338	1,5	-0,001
47,361	1,5	-0,001
47,385	1,5	0
47,409	1,5	-0,001
47,433	1,5	-0,108
47,457	1	-0,354
47,505	0,5	-0,485
47,529	0	-0,6
47,569	-2	-0,866
47,608	-3	-0,996
47,632	-4	-1,106
47,655	-5	-1,226
47,679	-5,5	-1,351
47,703	-6	-1,546
47,739	-7,5	-1,706
47,776	-8,5	-1,836
47,812	-9,5	-2,006
47,853	-12	-2,216
47,877	-12,5	-2,336
47,901	-13,5	-2,456
47,925	-14	-2,581
47,949	-15	-2,701
47,973	-15	-2,821
47,997	-17,5	-2,941
48,042	-18,5	-3,156
48,064	-18,5	-3,257
48,107	-22	-3,376
48,129	-22,5	-3,413
48,153	-22,5	-3,446
48,183	-22,5	-3,473
48,225	-24	-3,487
48,273	-24	-3,491
48,297	-24	-3,494
48,321	-24	-3,496
48,346	-24	-3,497
48,369	-24	-3,498
48,399	-24	-3,499
48,453	-24	-3,499
48,478	-24	-3,5
48,501	-24	-3,376
48,537	-24	-3,254
48,562	-24	-3,121
48,586	-21,5	-2,951
48,621	-20,5	-2,765
48,658	-20,5	-2,645
48,681	-20,5	-2,435
48,723	-15,5	-2,31
48,748	-15	-2,195
48,771	-14	-1,985
48,813	-11,5	-1,87
48,837	-10,5	-1,745
48,861	-10	-1,63
48,885	-9	-1,505
48,909	-8,5	-1,38
48,933	-7,5	-1,27
