Time (s)	Load (N)	Displacement (mm)
0	0	-0,031
0,023	0	-0,168
0,048	0	-0,292
0,071	-1,5	-0,414
0,095	-3	-0,534
0,119	-4,5	-0,654
0,143	-5,5	-0,774
0,167	-6,5	-0,899
0,191	-9	-1,014
0,215	-10,5	-1,134
0,239	-11,5	-1,254
0,263	-13	-1,374
0,287	-15	-1,494
0,311	-16,5	-1,614
0,335	-17,5	-1,735
0,359	-18,5	-1,854
0,389	-21	-2,025
0,413	-22	-2,124
0,437	-23	-2,244
0,461	-24	-2,364
0,485	-25,5	-2,484
0,509	-27,5	-2,604
0,533	-29	-2,724
0,557	-30	-2,844
0,581	-31	-2,964
0,605	-32,5	-3,084
0,629	-35	-3,204
0,653	-36,5	-3,298
0,677	-38	-3,361
0,701	-39	-3,404
0,725	-40	-3,434
0,749	-40,5	-3,454
0,773	-41	-3,468
0,797	-41	-3,478
0,821	-41	-3,486
0,851	-41	-3,49
0,875	-41	-3,493
0,899	-41	-3,495
0,923	-41	-3,497
0,947	-41	-3,498
0,971	-40,5	-3,499
0,995	-40,5	-3,499
1,019	-40,5	-3,5
1,043	-40,5	-3,461
1,067	-40,5	-3,321
1,091	-39,5	-3,197
1,115	-38,5	-3,075
1,139	-37	-2,955
1,163	-35	-2,834
1,187	-33,5	-2,714
1,211	-30,5	-2,59
1,235	-29	-2,474
1,259	-28	-2,354
1,283	-26,5	-2,234
1,307	-24,5	-2,114
1,331	-23,5	-1,994
1,355	-22,5	-1,874
1,379	-21	-1,754
1,403	-20	-1,634
1,427	-18	-1,484
1,457	-17	-1,364
1,481	-15,5	-1,244
1,505	-14,5	-1,124
1,529	-12,5	-1,004
1,553	-11	-0,884
1,577	-10	-0,764
1,601	-9	-0,639
1,625	-6,5	-0,464
1,661	-5	-0,344
1,685	-4	-0,236
1,709	-2	-0,162
1,733	-1,5	-0,112
1,757	-0,5	-0,077
1,781	0	-0,053
1,805	0	-0,037
1,829	0	-0,026
1,853	0,5	-0,017
1,877	0,5	-0,011
1,907	1	-0,008
1,931	1	-0,006
1,955	1	-0,004
1,979	0,5	-0,003
2,003	1	-0,002
2,027	1	-0,001
2,051	1	-0,001
2,075	1	-0,001
2,099	1	0
2,123	0,5	-0,046
2,147	0,5	-0,186
2,171	0	-0,315
2,195	0	-0,431
2,219	-1,5	-0,582
2,249	-4	-0,702
2,273	-5	-0,822
2,297	-6,5	-0,947
2,321	-7,5	-1,062
2,345	-9	-1,182
2,369	-11	-1,302
2,393	-12	-1,422
2,417	-13	-1,542
2,441	-14,5	-1,662
2,465	-15	-1,787
2,489	-17,5	-1,902
2,513	-18,5	-2,022
2,537	-19,5	-2,142
2,561	-20,5	-2,262
2,585	-21,5	-2,382
2,609	-24	-2,502
2,633	-25	-2,622
2,657	-26	-2,742
2,681	-32	-3,269
2,788	-35	-3,342
2,812	-36	-3,39
2,837	-37,5	-3,424
2,861	-38	-3,449
2,885	-38,5	-3,464
2,909	-39	-3,476
2,934	-39,5	-3,483
2,957	-39,5	-3,488
2,981	-39,5	-3,492
3,005	-40	-3,494
3,029	-39,5	-3,496
3,053	-39,5	-3,497
3,077	-40	-3,498
3,101	-39,5	-3,499
3,125	-39,5	-3,499
3,148	-39,5	-3,5
3,173	-39,5	-3,476
3,197	-39,5	-3,338
3,221	-39,5	-3,212
3,245	-38,5	-3,091
3,269	-37,5	-2,97
3,294	-34	-2,85
3,317	-32	-2,73
3,341	-30,5	-2,61
3,365	-29	-2,49
3,389	-26,5	-2,37
3,413	-25,5	-2,25
3,437	-24,5	-2,13
3,46	-23,5	-2,01
3,485	-22,5	-1,89
3,509	-20	-1,77
3,533	-19	-1,65
3,557	-18	-1,53
3,581	-16,5	-1,41
3,605	-15,5	-1,29
3,629	-13,5	-1,17
3,653	-12,5	-1,05
3,677	-11	-0,93
3,701	-10	-0,81
3,725	-9	-0,69
3,749	-6,5	-0,565
3,773	-5,5	-0,444
3,797	-4,5	-0,33
3,821	-3,5	-0,225
3,845	-2,5	-0,154
3,869	-0,5	-0,106
3,893	0	-0,072
3,916	0	-0,05
3,941	0,5	-0,035
3,965	0,5	-0,024
3,989	1	-0,016
4,013	1	-0,011
4,037	1	-0,008
4,061	1	-0,006
4,085	1	-0,004
4,109	1	-0,003
4,132	1	-0,002
4,157	1	-0,001
4,181	1	-0,001
4,205	1	0
4,229	1	-0,012
4,253	1	-0,141
4,277	1	-0,266
4,301	0,5	-0,388
4,325	0	-0,508
4,349	-3	-0,628
4,373	-4	-0,748
4,397	-5	-0,868
4,421	-6	-0,988
4,445	-7,5	-1,108
4,469	-9,5	-1,228
4,493	-10,5	-1,348
4,516	-12	-1,468
4,541	-12,5	-1,588
4,565	-14	-1,708
4,589	-16	-1,828
4,613	-17	-1,948
4,636	-18	-2,068
4,661	-19	-2,188
4,685	-20	-2,308
4,708	-22,5	-2,428
4,732	-23,5	-2,548
4,757	-24,5	-2,668
4,781	-25,5	-2,788
4,804	-26,5	-2,908
4,829	-29	-3,028
4,852	-30	-3,148
4,877	-31,5	-3,259
4,9	-33	-3,334
4,925	-34,5	-3,386
4,949	-37	-3,421
4,973	-37,5	-3,446
4,996	-38	-3,463
5,021	-38,5	-3,474
5,044	-39	-3,482
5,068	-39	-3,487
5,093	-39	-3,491
5,116	-39	-3,494
5,141	-39	-3,496
5,165	-39	-3,498
5,188	-39	-3,498
5,212	-39	-3,499
5,236	-39	-3,499
5,26	-39	-3,499
5,284	-39	-3,496
5,308	-39	-3,383
5,333	-39	-3,255
5,356	-38	-3,133
5,38	-36,5	-3,012
5,404	-35	-2,892
5,428	-31,5	-2,772
5,452	-30	-2,652
5,476	-29	-2,532
5,5	-27,5	-2,412
5,524	-26,5	-2,292
5,548	-24	-2,142
5,578	-23	-2,022
5,602	-22	-1,902
5,626	-19,5	-1,787
5,65	-18,5	-1,662
5,674	-17,5	-1,542
5,698	-16,5	-1,422
5,722	-15	-1,302
5,746	-13,5	-1,182
5,77	-12	-1,056
5,794	-10,5	-0,942
5,819	-9,5	-0,821
5,842	-8,5	-0,702
5,866	-6	-0,582
5,89	-5	-0,462
5,914	-4	-0,341
5,938	-3	-0,234
5,962	-2	-0,16
5,986	-0,5	-0,111
6,01	0	-0,076
6,034	0,5	-0,053
6,058	0,5	-0,036
6,083	0,5	-0,026
6,106	1	-0,017
6,13	1	-0,012
6,154	1	-0,008
6,178	1,5	-0,006
6,202	1,5	-0,004
6,226	1,5	-0,003
6,25	1,5	-0,002
6,274	1,5	-0,001
6,298	1,5	-0,001
6,322	1,5	0
6,346	1,5	-0,006
6,37	1,5	-0,129
6,394	1,5	-0,255
6,418	0,5	-0,376
6,442	0	-0,497
6,466	-2,5	-0,617
6,49	-3,5	-0,737
6,514	-5	-0,857
6,538	-6	-0,977
6,562	-7,5	-1,102
6,586	-9,5	-1,217
6,61	-10,5	-1,337
6,634	-11,5	-1,462
6,658	-12,5	-1,577
6,682	-13,5	-1,697
6,706	-15,5	-1,817
6,73	-16,5	-1,937
6,754	-18	-2,062
6,778	-19	-2,178
6,803	-20	-2,297
6,826	-22	-2,422
6,85	-23,5	-2,547
6,874	-24	-2,657
6,898	-25	-2,777
6,922	-26,5	-2,898
6,946	-27,5	-3,018
6,97	-30	-3,137
6,994	-31,5	-3,25
7,018	-32,5	-3,329
7,042	-34,5	-3,382
7,066	-36,5	-3,418
7,09	-37	-3,445
7,114	-37,5	-3,461
7,138	-38	-3,474
7,162	-38	-3,482
7,186	-38,5	-3,487
7,21	-38,5	-3,491
7,234	-38,5	-3,494
7,258	-38,5	-3,496
7,282	-38,5	-3,497
7,306	-38,5	-3,498
7,33	-38,5	-3,499
7,354	-39	-3,499
7,378	-39	-3,5
7,402	-38,5	-3,412
7,426	-38,5	-3,285
7,45	-37,5	-3,158
7,474	-36,5	-3,037
7,498	-34,5	-2,917
7,522	-33	-2,796
7,546	-30	-2,676
7,57	-28,5	-2,556
7,595	-27	-2,431
7,618	-26	-2,316
7,642	-25	-2,196
7,666	-22,5	-2,076
7,69	-21,5	-1,956
7,714	-20,5	-1,836
7,738	-19,5	-1,721
7,762	-18,5	-1,596
7,786	-16	-1,476
7,81	-15	-1,356
7,834	-14	-1,226
7,858	-12,5	-1,101
7,882	-11,5	-0,996
7,906	-9,5	-0,876
7,93	-8	-0,756
7,954	-7	-0,636
7,978	-6	-0,511
8,002	-4,5	-0,396
8,026	-3,5	-0,278
8,05	-2	-0,19
8,074	-1	-0,131
8,098	0	-0,09
8,122	0	-0,063
8,146	0,5	-0,043
8,171	1	-0,03
8,194	1,5	-0,021
8,218	1,5	-0,014
8,242	1,5	-0,01
8,266	1,5	-0,007
8,29	1,5	-0,004
8,314	1,5	-0,004
8,338	1,5	-0,002
8,362	1,5	-0,002
8,386	1,5	-0,001
8,41	1,5	-0,001
8,434	1,5	-0,001
8,458	1,5	0
8,482	1,5	-0,057
8,506	1,5	-0,195
8,53	1	-0,318
8,554	1	-0,439
8,578	-1	-0,565
8,602	-2	-0,68
8,626	-3,5	-0,8
8,65	-6	-0,92
8,674	-7	-1,04
8,698	-8	-1,16
8,722	-9	-1,28
8,746	-10	-1,4
8,77	-12	-1,52
8,794	-13,5	-1,64
8,818	-14,5	-1,755
8,842	-14,5	-1,88
8,866	-17,5	-2
8,89	-19	-2,12
8,914	-19,5	-2,24
8,938	-20,5	-2,36
8,962	-21,5	-2,48
8,986	-24	-2,6
9,01	-25	-2,72
9,034	-26	-2,84
9,058	-27	-2,96
9,082	-28	-3,08
9,106	-29,5	-3,205
9,13	-32	-3,295
9,154	-33,5	-3,359
9,178	-35	-3,403
9,202	-36	-3,434
9,226	-37	-3,454
9,25	-37,5	-3,468
9,274	-37,5	-3,478
9,298	-38	-3,485
9,322	-38,5	-3,489
9,346	-38,5	-3,492
9,37	-38,5	-3,495
9,394	-38,5	-3,496
9,418	-38,5	-3,498
9,442	-38,5	-3,498
9,466	-38,5	-3,499
9,49	-38,5	-3,499
9,514	-38,5	-3,5
9,538	-38,5	-3,406
9,562	-38,5	-3,275
9,586	-37	-3,153
9,61	-35,5	-3,032
9,634	-34	-2,907
9,658	-32	-2,792
9,682	-30,5	-2,671
9,706	-28	-2,551
9,73	-26,5	-2,431
9,754	-25,5	-2,311
9,778	-24,5	-2,191
9,802	-23,5	-2,072
9,826	-21	-1,952
9,85	-20	-1,831
9,874	-19	-1,711
9,898	-18	-1,591
9,922	-17	-1,471
9,946	-14,5	-1,351
9,97	-13,5	-1,232
9,994	-12	-1,106
10,018	-11	-0,991
10,042	-10	-0,871
10,066	-7,5	-0,751
10,09	-6,5	-0,626
10,114	-5,5	-0,511
10,138	-4,5	-0,391
10,162	-3,5	-0,274
10,186	-1,5	-0,184
10,21	-0,5	-0,129
10,234	0	-0,089
10,258	0	-0,06
10,282	0,5	-0,042
10,306	1	-0,029
10,33	1,5	-0,02
10,354	1,5	-0,014
10,378	1,5	-0,01
10,402	1,5	-0,006
10,426	1,5	-0,005
10,45	1,5	-0,004
10,474	1,5	-0,002
10,498	1,5	-0,002
10,522	1,5	-0,001
10,546	1,5	-0,001
10,57	1,5	0
10,594	1,5	0
10,618	1,5	-0,096
10,642	1,5	-0,228
10,666	0,5	-0,351
10,69	0	-0,471
10,714	-1,5	-0,592
10,739	-3	-0,712
10,762	-4	-0,832
10,786	-6	-0,952
10,81	-7,5	-1,072
10,834	-8,5	-1,192
10,858	-9,5	-1,317
10,882	-10,5	-1,432
10,906	-12	-1,552
10,93	-13,5	-1,672
10,954	-14,5	-1,797
10,978	-15,5	-1,912
11,002	-16,5	-2,032
11,026	-18	-2,152
11,05	-20	-2,272
11,074	-21	-2,392
11,098	-22	-2,512
11,122	-23	-2,632
11,146	-25	-2,752
11,17	-26	-2,872
11,194	-27,5	-2,992
11,218	-28,5	-3,112
11,242	-30	-3,229
11,266	-31	-3,314
11,29	-34	-3,374
11,314	-35,5	-3,412
11,338	-36	-3,439
11,362	-36,5	-3,458
11,386	-37	-3,471
11,41	-38	-3,48
11,434	-38	-3,486
11,458	-38	-3,49
11,482	-38	-3,493
11,506	-38	-3,496
11,53	-38,5	-3,497
11,554	-38,5	-3,498
11,578	-38,5	-3,499
11,602	-38,5	-3,499
11,626	-38	-3,5
11,65	-38	-3,446
11,674	-38	-3,308
11,698	-37,5	-3,184
11,722	-37	-3,058
11,746	-35,5	-2,943
11,77	-31,5	-2,823
11,794	-30,5	-2,702
11,818	-29	-2,582
11,842	-27,5	-2,462
11,866	-25	-2,342
11,89	-24	-2,222
11,914	-23	-2,102
11,938	-22	-1,977
11,962	-21	-1,867
11,986	-19	-1,742
12,01	-17,5	-1,622
12,034	-16,5	-1,502
12,058	-15	-1,382
12,082	-14,5	-1,262
12,106	-13	-1,142
12,13	-10,5	-1,027
12,154	-9,5	-0,902
12,178	-8,5	-0,782
12,202	-7,5	-0,662
12,226	-5,5	-0,542
12,25	-4,5	-0,422
12,274	-3	-0,297
12,298	-2,5	-0,2
12,322	-1,5	-0,142
12,346	0	-0,098
12,37	0	-0,068
12,394	0,5	-0,047
12,418	1	-0,032
12,442	1,5	-0,023
12,466	1,5	-0,015
12,491	1,5	-0,01
12,514	1,5	-0,007
12,538	1,5	-0,005
12,562	1,5	-0,004
12,586	1,5	-0,002
12,61	1,5	-0,002
12,634	1,5	-0,001
12,658	1,5	-0,001
12,682	1,5	-0,001
12,706	1,5	-0,001
12,73	1,5	0
12,754	1,5	-0,089
12,778	1,5	-0,221
12,802	1,5	-0,344
12,826	-0,5	-0,47
12,851	-1,5	-0,585
12,874	-3	-0,715
12,898	-4	-0,825
12,922	-5	-0,945
12,946	-6,5	-1,065
12,97	-8,5	-1,185
12,994	-9,5	-1,305
13,018	-10,5	-1,425
13,042	-11,5	-1,55
13,066	-13,5	-1,665
13,09	-14,5	-1,785
13,114	-15,5	-1,905
13,138	-16,5	-2,025
13,162	-16,5	-2,145
13,186	-20	-2,265
13,21	-21	-2,385
13,234	-22	-2,505
13,258	-23	-2,63
13,282	-24	-2,745
13,306	-26,5	-2,865
13,33	-27,5	-2,985
13,355	-28,5	-3,105
13,378	-30	-3,223
13,402	-31	-3,31
13,426	-34	-3,37
13,45	-35,5	-3,41
13,474	-36	-3,438
13,498	-36,5	-3,457
13,522	-37	-3,47
13,546	-37,5	-3,48
13,57	-38	-3,486
13,594	-38	-3,49
13,618	-38	-3,493
13,642	-38	-3,495
13,666	-38	-3,497
13,69	-38	-3,498
13,714	-38	-3,499
13,738	-38	-3,499
13,762	-38	-3,5
13,786	-38	-3,5
13,81	-38	-3,412
13,834	-38	-3,278
13,858	-37,5	-3,155
13,882	-36	-3,034
13,906	-34,5	-2,913
13,93	-31	-2,793
13,954	-29,5	-2,673
13,978	-28,5	-2,553
14,002	-27,5	-2,433
14,026	-26	-2,313
14,05	-24	-2,183
14,075	-22,5	-2,073
14,098	-21,5	-1,953
14,122	-20,5	-1,833
14,146	-19,5	-1,713
14,17	-17	-1,593
14,194	-16	-1,473
14,218	-15	-1,353
14,242	-14	-1,233
14,266	-12,5	-1,113
14,291	-10	-0,993
14,314	-9	-0,873
14,338	-8	-0,753
14,362	-7	-0,633
14,386	-6	-0,513
14,41	-4	-0,393
14,434	-3	-0,275
14,458	-2	-0,188
14,482	-1	-0,13
14,506	0	-0,09
14,53	0,5	-0,062
14,554	1	-0,044
14,578	1	-0,03
14,602	1,5	-0,02
14,626	1,5	-0,014
14,65	1,5	-0,01
14,674	1,5	-0,007
14,698	1,5	-0,005
14,722	1,5	-0,003
14,746	1,5	-0,002
14,77	1,5	-0,002
14,794	1,5	-0,001
14,818	1,5	-0,001
14,842	1,5	-0,001
