Time (s)	Load (N)	Displacement (mm)
0	0	-0,036
0,023	0	-0,174
0,047	0	-0,314
0,071	-0,5	-0,42
0,095	-2	-0,54
0,119	-3,5	-0,666
0,143	-4,5	-0,776
0,167	-7	-0,901
0,191	-8	-1,021
0,215	-9	-1,141
0,239	-10,5	-1,261
0,263	-12	-1,381
0,287	-14	-1,501
0,312	-15	-1,621
0,335	-16,5	-1,741
0,359	-17,5	-1,861
0,383	-19	-1,981
0,407	-21	-2,101
0,431	-21	-2,221
0,456	-23	-2,341
0,479	-24	-2,496
0,509	-26	-2,606
0,534	-27	-2,731
0,557	-28,5	-2,851
0,581	-29,5	-2,971
0,605	-31,5	-3,091
0,629	-33	-3,21
0,653	-34,5	-3,301
0,679	-36	-3,363
0,701	-37	-3,406
0,725	-37,5	-3,434
0,749	-39	-3,455
0,773	-39	-3,469
0,797	-39	-3,479
0,821	-39	-3,485
0,845	-39	-3,49
0,869	-39	-3,493
0,893	-39	-3,495
0,917	-39	-3,496
0,941	-39	-3,498
0,965	-39	-3,498
0,989	-39	-3,499
1,019	-39	-3,5
1,043	-38,5	-3,466
1,067	-38,5	-3,327
1,091	-38	-3,202
1,115	-37	-3,081
1,139	-35,5	-2,96
1,163	-34	-2,84
1,187	-31	-2,72
1,211	-29,5	-2,6
1,235	-28	-2,47
1,259	-27	-2,36
1,285	-26	-2,24
1,307	-24	-2,12
1,331	-24	-2
1,355	-22	-1,88
1,379	-20,5	-1,76
1,403	-19,5	-1,64
1,427	-17,5	-1,515
1,451	-16,5	-1,4
1,475	-15	-1,28
1,499	-14,5	-1,16
1,523	-13	-1,04
1,547	-10,5	-0,92
1,571	-9,5	-0,8
1,595	-8,5	-0,68
1,619	-7,5	-0,56
1,643	-7,5	-0,44
1,667	-4,5	-0,32
1,691	-3	-0,219
1,715	-2	-0,15
1,739	-1	-0,104
1,763	-0,5	-0,072
1,787	0	-0,049
1,811	0,5	-0,034
1,835	0,5	-0,024
1,859	0,5	-0,016
1,883	1	-0,012
1,907	1	-0,008
1,931	1	-0,006
1,955	1	-0,004
1,979	1	-0,002
2,003	1	-0,002
2,027	1	-0,001
2,051	1	-0,001
2,075	1	0
2,099	1	-0,067
2,123	1	-0,202
2,147	0,5	-0,325
2,171	0,5	-0,446
2,195	-1,5	-0,566
2,219	-1,5	-0,686
2,243	-3,5	-0,806
2,267	-6	-0,926
2,291	-7,5	-1,046
2,315	-8,5	-1,166
2,339	-9,5	-1,286
2,363	-10,5	-1,406
