Time (s)	Load (N)	Displacement (mm)
0	0	-0,029
0,023	0	-0,189
0,047	0	-0,298
0,071	-0,5	-0,419
0,095	-2	-0,539
0,119	-4	-0,664
0,143	-5,5	-0,774
0,167	-6,5	-0,9
0,191	-7,5	-1,02
0,215	-9	-1,14
0,239	-11,5	-1,26
0,263	-12,5	-1,38
0,287	-14	-1,5
0,311	-15	-1,62
0,335	-15	-1,739
0,359	-18,5	-1,864
0,383	-19,5	-1,98
0,407	-21	-2,099
0,431	-21,5	-2,22
0,455	-22,5	-2,34
0,479	-24	-2,46
0,503	-25	-2,58
0,527	-26,5	-2,7
0,552	-27,5	-2,82
0,575	-28,5	-2,94
0,599	-31	-3,059
0,623	-32	-3,184
0,647	-33,5	-3,282
0,671	-35	-3,35
0,695	-36	-3,398
0,719	-37,5	-3,428
0,743	-38	-3,451
0,767	-38,5	-3,466
0,791	-38,5	-3,477
0,815	-38,5	-3,483
0,839	-38,5	-3,489
0,863	-38,5	-3,493
0,887	-38,5	-3,495
0,911	-38,5	-3,496
0,935	-38,5	-3,497
0,959	-38,5	-3,498
0,983	-38	-3,499
1,007	-38	-3,499
1,031	-38	-3,499
1,055	-37,5	-3,499
1,079	-37,5	-3,5
1,103	-37,5	-3,464
1,127	-37,5	-3,322
1,151	-37,5	-3,197
1,175	-36,5	-3,08
1,199	-33,5	-2,955
1,223	-31,5	-2,835
1,247	-30,5	-2,714
1,271	-29	-2,594
1,295	-27,5	-2,474
1,319	-25	-2,354
1,343	-24	-2,234
1,367	-24	-2,109
1,391	-22	-1,994
1,415	-21	-1,874
1,439	-19,5	-1,754
1,463	-18,5	-1,634
1,487	-17,5	-1,514
1,511	-16,5	-1,394
1,536	-15	-1,274
1,559	-13	-1,154
1,583	-11,5	-1,034
1,607	-10,5	-0,91
1,631	-9,5	-0,76
1,661	-7,5	-0,644
1,685	-6	-0,525
1,709	-5	-0,405
1,734	-4,5	-0,286
1,757	-2	-0,195
1,782	-1,5	-0,134
1,805	-0,5	-0,093
1,829	0	-0,058
1,859	0,5	-0,04
1,884	0,5	-0,028
1,907	1	-0,019
1,932	1	-0,014
1,955	1	-0,009
1,979	1	-0,006
2,003	1	-0,004
2,027	1	-0,003
2,051	1	-0,002
2,075	1	-0,002
2,099	1	-0,001
2,123	1	-0,001
2,147	1	-0,001
2,171	1	0
2,195	1	-0,088
2,219	1	-0,552
2,309	-2,5	-0,672
2,333	-3,5	-0,797
2,357	-6	-0,912
2,381	-7	-1,032
2,405	-8	-1,152
2,429	-9,5	-1,272
2,453	-10,5	-1,392
2,477	-12,5	-1,512
2,501	-13,5	-1,632
2,525	-13,5	-1,753
2,549	-15,5	-1,873
2,573	-16,5	-1,992
2,597	-18	-2,112
2,621	-20	-2,232
2,646	-21	-2,352
2,669	-21,5	-2,472
2,693	-22,5	-2,592
2,718	-24,5	-2,712
2,741	-25,5	-2,827
2,765	-26,5	-2,977
2,795	-28	-3,102
2,819	-30,5	-3,221
2,843	-32	-3,309
2,867	-33	-3,368
2,891	-34,5	-3,408
2,915	-35,5	-3,437
2,939	-36,5	-3,457
2,963	-36,5	-3,47
2,987	-36,5	-3,479
3,011	-37	-3,486
3,035	-37	-3,49
3,059	-37,5	-3,493
3,083	-37,5	-3,495
3,107	-37,5	-3,497
3,131	-37,5	-3,498
3,155	-37,5	-3,498
3,179	-37,5	-3,499
3,203	-37,5	-3,499
3,227	-37,5	-3,499
3,251	-37,5	-3,5
3,275	-37	-3,489
3,299	-37,5	-3,36
3,323	-37	-3,232
3,347	-36	-3,11
3,371	-34,5	-2,989
3,395	-32,5	-2,869
3,419	-30	-2,744
3,443	-28,5	-2,629
3,467	-27	-2,509
3,491	-25,5	-2,389
3,515	-24,5	-2,269
3,539	-22,5	-2,144
3,563	-21,5	-2,014
3,587	-20,5	-1,909
3,611	-20	-1,789
3,635	-19	-1,669
3,659	-16,5	-1,549
3,683	-15,5	-1,429
3,707	-14,5	-1,314
3,731	-13,5	-1,188
3,755	-12,5	-1,068
3,779	-10	-0,948
3,803	-9	-0,829
3,827	-8	-0,708
3,851	-6,5	-0,588
3,875	-5,5	-0,468
3,899	-3,5	-0,348
3,923	-2,5	-0,239
3,947	-1,5	-0,164
3,971	-1	-0,113
3,995	0	-0,078
4,019	0,5	-0,053
4,043	0,5	-0,038
4,067	1	-0,026
4,091	1	-0,018
4,115	1,5	-0,012
4,139	1,5	-0,008
4,163	1,5	-0,006
4,187	1,5	-0,004
4,211	1,5	-0,002
4,235	1,5	-0,002
4,259	1,5	-0,001
4,283	1,5	-0,001
4,307	1,5	-0,001
4,331	1,5	0
4,355	1,5	-0,025
4,379	1,5	-0,164
4,403	1	-0,294
4,427	0	-0,441
4,457	-1,5	-0,562
4,481	-3	-0,682
4,505	-4	-0,802
4,529	-5	-0,922
4,553	-6	-1,047
4,577	-7	-1,162
4,601	-9,5	-1,282
4,625	-10,5	-1,402
4,649	-11,5	-1,522
4,673	-12,5	-1,637
4,697	-13,5	-1,762
4,721	-15	-1,882
4,745	-16,5	-2,002
4,769	-18	-2,127
4,793	-19	-2,242
4,817	-20,5	-2,362
4,841	-21,5	-2,482
4,865	-22,5	-2,602
4,889	-23,5	-2,722
4,913	-24,5	-2,847
4,937	-27	-2,966
4,961	-28	-3,082
4,985	-29	-3,202
5,009	-30	-3,296
5,033	-31,5	-3,36
5,057	-34,5	-3,403
5,081	-35	-3,433
5,105	-35,5	-3,454
5,129	-36	-3,468
5,153	-36	-3,478
5,177	-36,5	-3,484
5,201	-36,5	-3,49
5,225	-36,5	-3,493
5,249	-36,5	-3,495
5,273	-36,5	-3,496
5,297	-37	-3,498
5,321	-36,5	-3,498
5,345	-36,5	-3,499
5,369	-36,5	-3,499
5,393	-36,5	-3,499
5,417	-36,5	-3,5
5,441	-36,5	-3,487
5,465	-36,5	-3,354
5,489	-37	-3,221
5,513	-36	-3,104
5,537	-32,5	-2,983
5,561	-31,5	-2,863
5,585	-30	-2,743
5,609	-28,5	-2,623
5,633	-27	-2,503
5,657	-25,5	-2,383
5,681	-23,5	-2,263
5,705	-22,5	-2,143
5,729	-21,5	-2,023
5,753	-20,5	-1,903
5,777	-19	-1,783
5,801	-18	-1,663
5,825	-16,5	-1,543
5,849	-15,5	-1,423
5,873	-14,5	-1,303
5,897	-12	-1,183
5,921	-11	-1,063
5,945	-10	-0,943
5,969	-9	-0,823
5,993	-8	-0,703
6,017	-6,5	-0,583
6,041	-4,5	-0,463
6,065	-3,5	-0,343
6,09	-2,5	-0,224
