Time (s)	Load (N)	Displacement (mm)
0	0	-0,036
0,024	0	-0,175
0,048	0	-0,3
0,072	-1	-0,421
0,096	-2	-0,542
0,12	-3,5	-0,667
0,144	-4,5	-0,847
0,185	-8	-0,992
0,21	-9,5	-1,112
0,234	-10,5	-1,232
0,258	-12	-1,352
0,282	-14	-1,467
0,306	-15	-1,592
0,33	-16	-1,712
0,354	-17,5	-1,832
0,378	-18,5	-1,952
0,402	-21	-2,072
0,426	-22	-2,192
0,45	-22,5	-2,312
0,474	-23,5	-2,432
0,498	-24,5	-2,552
0,522	-26,5	-2,672
0,546	-28	-2,792
0,57	-29	-2,912
0,594	-30	-3,032
0,618	-31,5	-3,152
0,642	-34	-3,262
0,666	-35,5	-3,336
0,69	-36,5	-3,387
0,714	-37,5	-3,422
0,738	-38	-3,446
0,762	-38,5	-3,463
0,786	-39	-3,474
0,81	-39	-3,483
0,834	-39	-3,488
0,858	-39	-3,491
0,882	-39	-3,494
0,906	-39	-3,496
0,93	-38,5	-3,497
0,954	-38,5	-3,498
0,978	-38,5	-3,499
1,002	-38,5	-3,499
1,026	-38	-3,4
1,092	-38,5	-3,267
1,116	-37,5	-3,144
1,14	-36,5	-3,023
1,164	-33,5	-2,903
1,188	-32	-2,782
1,212	-30,5	-2,662
1,236	-29	-2,542
1,26	-28	-2,427
1,284	-25,5	-2,302
1,308	-24	-2,182
1,332	-23	-2,062
1,356	-22	-1,942
1,38	-21	-1,822
1,404	-19,5	-1,702
1,428	-18,5	-1,582
1,452	-17,5	-1,462
1,476	-16	-1,342
1,5	-15	-1,222
1,524	-13	-1,102
1,548	-12	-0,982
1,572	-10,5	-0,862
1,596	-9,5	-0,742
1,62	-8,5	-0,622
1,644	-6	-0,502
1,668	-5	-0,382
1,692	-4,5	-0,266
1,716	-3	-0,182
1,74	-2	-0,126
1,764	-0,5	-0,086
1,788	0	-0,06
1,812	0	-0,041
1,836	0	-0,029
1,86	0,5	-0,019
1,884	0,5	-0,013
1,908	0,5	-0,009
1,932	1	-0,006
1,956	1	-0,004
1,98	1	-0,003
2,004	1	-0,002
2,028	0,5	-0,002
2,052	0,5	-0,001
2,076	0,5	-0,001
2,1	0,5	0
2,124	0,5	-0,096
2,148	0,5	-0,224
2,172	0	-0,346
2,196	0	-0,467
2,22	-1	-0,588
2,244	-3,5	-0,708
2,268	-4,5	-0,827
2,292	-6	-0,948
2,316	-7	-1,068
2,34	-8	-1,188
2,364	-10,5	-1,308
2,388	-11,5	-1,428
2,412	-12,5	-1,548
2,436	-13,5	-1,668
2,46	-14,5	-1,788
2,484	-16,5	-1,908
2,508	-17,5	-2,027
2,532	-19	-2,147
2,556	-20	-2,262
2,58	-21,5	-2,388
2,604	-22,5	-2,508
2,628	-23,5	-2,627
2,652	-24,5	-2,748
2,676	-25,5	-2,868
2,7	-27	-2,987
2,724	-29	-3,107
2,748	-30	-3,225
2,772	-31,5	-3,312
2,796	-33	-3,37
2,82	-34,5	-3,411
2,844	-36	-3,438
2,868	-37	-3,458
