Time (s)	Load (N)	Displacement (mm)
5,609	-12,9	-1,868
5,633	-12,08	-1,748
5,657	-11,2	-1,628
5,681	-10,48	-1,508
5,705	-10,48	-1,388
5,729	-8,34	-1,268
5,753	-7,66	-1,148
5,777	-6,98	-1,028
5,801	-6,34	-0,908
5,825	-5,68	-0,788
5,849	-4,38	-0,668
5,873	-3,76	-0,548
5,897	-3,12	-0,428
5,921	-2,52	-0,308
5,945	-1,3	-0,211
5,969	-0,72	-0,145
5,993	-0,22	-0,1
6,017	0,2	-0,069
6,041	0,54	-0,047
6,065	0,78	-0,033
6,089	1,04	-0,022
6,112	1,12	-0,016
6,137	1,18	-0,011
6,161	1,2	-0,008
6,185	1,22	-0,005
6,209	1,24	-0,003
6,232	1,22	-0,002
6,257	1,22	-0,002
6,281	1,2	-0,001
6,305	1,2	-0,001
6,329	1,18	0
6,353	1,16	-0,015
6,377	1,14	-0,148
6,401	1,14	-0,274
6,425	0,86	-0,396
6,448	0,06	-0,516
6,473	-0,68	-0,636
6,496	-1,36	-0,756
6,521	-2,06	-0,876
6,544	-2,74	-0,997
6,569	-4,12	-1,117
6,593	-4,78	-1,237
6,617	-5,48	-1,357
6,641	-6,12	-1,477
6,665	-6,8	-1,597
6,689	-8,16	-1,717
6,713	-8,16	-1,837
6,737	-9,5	-1,957
6,761	-10,2	-2,077
6,785	-10,9	-2,197
6,809	-12,32	-2,317
6,832	-13,1	-2,437
6,857	-13,86	-2,557
6,881	-14,62	-2,677
6,905	-15,42	-2,792
6,929	-17,04	-2,912
6,953	-17,86	-3,036
6,976	-18,66	-3,156
7	-19,5	-3,265
7,025	-20,34	-3,339
7,049	-21,98	-3,389
7,073	-22,62	-3,422
7,097	-23,08	-3,447
7,121	-23,42	-3,464
7,145	-23,64	-3,474
7,169	-23,9	-3,483
7,193	-23,96	-3,488
7,216	-24	-3,492
7,24	-24,02	-3,494
7,265	-24,02	-3,496
7,288	-24,02	-3,497
7,312	-24	-3,498
7,336	-23,98	-3,498
7,36	-23,96	-3,499
7,384	-23,94	-3,499
7,408	-23,9	-3,5
7,432	-23,86	-3,427
7,456	-23,86	-3,291
7,481	-23,7	-3,168
7,504	-22,98	-3,047
7,528	-21,02	-2,927
7,552	-20,14	-2,806
7,576	-19,2	-2,686
7,601	-18,32	-2,566
7,624	-17,44	-2,446
7,648	-15,68	-2,326
7,672	-14,86	-2,206
7,696	-14,06	-2,086
7,72	-14,06	-1,966
7,744	-14,06	-1,846
7,768	-10,98	-1,726
7,792	-10,24	-1,606
7,816	-10,24	-1,486
7,84	-9,54	-1,366
7,864	-7,46	-1,251
7,888	-6,8	-1,126
7,912	-6,8	-1,006
7,936	-6,12	-0,886
7,96	-4,84	-0,766
7,984	-4,2	-0,646
8,008	-2,94	-0,527
8,032	-2,34	-0,406
8,056	-1,74	-0,287
8,081	-1,16	-0,197
8,104	-1,16	-0,136
8,128	0,38	-0,093
8,152	0,72	-0,064
8,176	0,94	-0,044
8,201	1,1	-0,031
8,224	1,22	-0,021
8,248	1,34	-0,014
8,272	1,36	-0,01
8,296	1,38	-0,007
8,32	1,38	-0,005
8,344	1,38	-0,003
8,368	1,38	-0,002
8,392	1,36	-0,001
8,416	1,36	-0,001
8,44	1,34	-0,001
8,464	1,32	0
8,488	1,3	-0,047
8,512	1,3	-0,182
8,536	1,08	-0,312
8,561	0,64	-0,432
8,584	0,14	-0,553
8,608	-1,34	-0,673
8,632	-2,08	-0,793
8,656	-2,74	-0,913
8,68	-3,44	-1,033
8,704	-4,1	-1,153
8,728	-4,76	-1,273
8,752	-6,1	-1,393
8,776	-6,76	-1,513
8,8	-7,4	-1,633
8,824	-7,4	-1,753
8,848	-9,44	-1,873
8,872	-10,1	-1,993
8,896	-10,78	-2,113
8,92	-10,78	-2,233
8,944	-11,48	-2,353
8,969	-13,72	-2,473
8,992	-14,48	-2,593
9,017	-14,48	-2,713
9,04	-15,26	-2,833
9,064	-16,9	-2,953
9,088	-18,54	-3,073
9,112	-18,54	-3,193
9,136	-19,38	-3,29
9,16	-21,12	-3,356
9,185	-21,88	-3,401
9,208	-21,88	-3,432
9,232	-22,96	-3,453
9,256	-23,28	-3,468
9,28	-23,52	-3,477
9,304	-23,66	-3,485
9,328	-23,8	-3,489
9,352	-23,84	-3,493
9,376	-23,86	-3,495
9,401	-23,86	-3,496
9,424	-23,84	-3,497
9,448	-23,82	-3,498
9,472	-23,8	-3,498
9,496	-23,78	-3,499
9,52	-23,76	-3,5
9,544	-23,76	-3,491
9,568	-23,72	-3,366
9,592	-23,7	-3,238
9,616	-23,22	-3,116
9,64	-22,42	-2,995
9,664	-22,42	-2,875
9,688	-19,46	-2,755
9,712	-18,56	-2,634
9,737	-17,68	-2,515
9,76	-16,78	-2,395
9,784	-15,92	-2,275
9,808	-14,28	-2,155
9,832	-13,48	-2,035
9,856	-12,66	-1,914
9,88	-11,9	-1,795
9,904	-11,16	-1,674
9,928	-9,7	-1,555
9,952	-9	-1,435
9,976	-8,32	-1,315
10	-7,64	-1,185
10,024	-6,96	-1,075
10,048	-5,64	-0,954
10,072	-5,02	-0,835
10,096	-4,36	-0,715
10,12	-3,74	-0,595
10,144	-3,12	-0,475
10,169	-1,9	-0,355
10,192	-1,3	-0,244
10,216	-0,72	-0,168
10,24	-0,16	-0,115
10,265	0,28	-0,08
10,288	0,96	-0,055
10,312	1,14	-0,038
10,336	1,3	-0,026
10,36	1,38	-0,018
10,384	1,44	-0,012
10,408	1,5	-0,009
10,433	1,52	-0,006
10,456	1,52	-0,004
10,48	1,52	-0,003
10,504	1,5	-0,002
10,528	1,48	-0,001
10,552	1,48	-0,001
10,576	1,48	0
10,6	1,46	-0,072
10,624	1,44	-0,206
10,648	0,98	-0,33
10,672	0,74	-0,451
10,696	-0,02	-0,571
10,72	-0,7	-0,691
10,744	-1,4	-0,811
10,768	-2,78	-0,931
10,792	-3,44	-1,051
10,816	-4,12	-1,171
10,84	-4,78	-1,291
10,864	-5,48	-1,411
10,888	-6,8	-1,531
10,912	-7,46	-1,651
10,936	-8,12	-1,771
10,96	-8,8	-1,891
10,984	-8,8	-2,011
11,008	-10,88	-2,131
11,032	-11,58	-2,246
11,056	-12,34	-2,372
11,08	-13,08	-2,492
11,104	-13,84	-2,611
11,128	-15,38	-2,731
11,152	-16,22	-2,851
11,176	-17,02	-2,971
11,201	-17,86	-3,122
11,23	-17,86	-3,237
11,254	-17,86	-3,32
11,278	-21,26	-3,376
11,302	-21,96	-3,415
11,326	-21,96	-3,441
11,35	-22,92	-3,46
11,374	-23,4	-3,472
11,398	-23,52	-3,48
11,422	-23,6	-3,487
11,446	-23,66	-3,491
11,47	-23,7	-3,494
11,494	-23,72	-3,495
11,519	-23,7	-3,497
11,542	-23,7	-3,498
11,566	-23,66	-3,498
11,591	-23,64	-3,499
11,615	-23,62	-3,499
11,638	-23,62	-3,5
11,662	-23,6	-3,494
11,686	-23,54	-3,371
11,71	-23,32	-3,243
11,734	-23,32	-3,121
11,758	-22,58	-3
11,782	-21,7	-2,88
11,806	-19,52	-2,765
11,83	-18,58	-2,64
11,854	-17,7	-2,52
11,878	-16,72	-2,4
11,902	-16,72	-2,28
11,926	-14,22	-2,16
11,95	-13,44	-2,04
11,974	-12,6	-1,92
11,998	-11,88	-1,8
12,022	-11,1	-1,68
12,046	-9,66	-1,56
12,073	-8,96	-1,44
12,094	-8,26	-1,32
12,118	-7,58	-1,2
12,142	-6,9	-1,08
12,166	-6,24	-0,96
12,19	-4,94	-0,84
12,214	-4,32	-0,72
12,238	-3,7	-0,6
12,262	-3,06	-0,48
12,286	-1,86	-0,36
12,31	-1,28	-0,252
12,335	-0,68	-0,17
12,358	-0,12	-0,117
12,382	-0,12	-0,081
12,406	1,04	-0,056
12,43	1,26	-0,038
12,454	1,38	-0,026
12,478	1,38	-0,018
12,502	1,56	-0,013
12,526	1,62	-0,009
12,55	1,64	-0,006
12,574	1,64	-0,004
12,598	1,64	-0,003
12,622	1,62	-0,002
12,646	1,6	-0,001
12,67	1,6	-0,001
12,694	1,58	0
12,718	1,58	-0,009
12,742	1,56	-0,137
12,766	1,46	-0,264
12,79	1,12	-0,386
12,814	0,5	-0,507
12,838	-0,28	-0,627
12,862	-0,98	-0,748
12,886	-2,32	-0,868
12,91	-3,02	-0,988
12,934	-3,66	-1,108
12,958	-4,34	-1,228
12,982	-4,98	-1,348
13,006	-6,26	-1,468
13,03	-6,88	-1,588
13,055	-7,54	-1,707
13,078	-8,2	-1,828
13,103	-8,86	-1,947
13,126	-10,2	-2,067
13,15	-10,88	-2,182
13,174	-11,64	-2,307
13,198	-12,36	-2,427
13,222	-13,1	-2,547
13,246	-14,62	-2,667
13,27	-15,44	-2,787
13,294	-16,24	-2,907
13,319	-17,06	-3,027
13,342	-17,88	-3,147
13,366	-19,62	-3,258
13,39	-20,46	-3,334
13,414	-21,24	-3,386
13,438	-21,94	-3,421
13,462	-22,5	-3,445
13,486	-23,12	-3,463
13,51	-23,3	-3,474
13,535	-23,42	-3,482
13,558	-23,48	-3,488
13,583	-23,52	-3,491
13,606	-23,56	-3,494
13,63	-23,56	-3,495
13,654	-23,56	-3,497
13,678	-23,54	-3,498
13,702	-23,52	-3,498
13,726	-23,48	-3,499
13,751	-23,46	-3,499
13,774	-23,44	-3,5
13,798	-23,42	-3,466
13,822	-23,4	-3,327
13,846	-23,4	-3,201
13,87	-23,4	-3,085
13,894	-21,16	-2,959
13,918	-20,1	-2,839
13,942	-19,2	-2,719
13,966	-18,3	-2,599
13,99	-16,48	-2,479
14,015	-16,48	-2,359
14,038	-14,8	-2,239
14,065	-14,8	-2,119
14,086	-12,38	-1,998
14,11	-11,62	-1,879
14,134	-10,88	-1,758
14,158	-10,88	-1,644
14,182	-10,14	-1,519
14,206	-8	-1,398
14,23	-7,32	-1,279
14,254	-6,66	-1,158
14,278	-6	-1,038
14,303	-5,34	-0,924
14,326	-4,7	-0,799
14,35	-3,46	-0,678
14,374	-2,86	-0,558
14,398	-2,26	-0,439
14,422	-1,62	-0,318
14,446	-0,46	-0,218
14,47	0,06	-0,15
14,494	0,52	-0,103
14,518	0,92	-0,071
14,542	1,18	-0,049
14,566	1,5	-0,034
14,59	1,6	-0,023
14,614	1,66	-0,016
14,638	1,7	-0,011
14,662	1,72	-0,008
14,686	1,74	-0,005
14,71	1,74	-0,003
14,734	1,72	-0,002
14,758	1,72	-0,002
14,782	1,7	-0,001
14,806	1,68	-0,001
14,83	1,66	0
14,854	1,66	-0,078
14,878	1,64	-0,211
14,902	1,4	-0,334
14,926	0,26	-0,454
