Time (s)	Load (N)	Displacement (mm)
0	0	-0,136
0,042	0	-0,271
0,066	0	-0,393
0,09	-1	-0,518
0,114	-3,5	-0,638
0,138	-5	-0,754
0,162	-6	-0,874
0,186	-7,5	-0,994
0,21	-8,5	-1,114
0,234	-10	-1,234
0,258	-11	-1,354
0,282	-12	-1,474
0,306	-13,5	-1,594
0,33	-13,5	-1,714
0,354	-16	-1,834
0,378	-17,5	-1,954
0,402	-18,5	-2,074
0,426	-19,5	-2,369
0,486	-22,5	-2,494
0,51	-23,5	-2,614
0,534	-25,5	-2,734
0,558	-26,5	-2,854
0,582	-27,5	-3,034
0,618	-29,5	-3,154
0,642	-30,5	-3,313
0,692	-32,5	-3,391
0,714	-34,5	-3,422
0,782	-35,5	-3,472
0,804	-35,5	-3,48
0,828	-35,5	-3,487
0,852	-35,5	-3,491
0,876	-35	-3,495
0,918	-35	-3,497
0,942	-35	-3,498
0,966	-35	-3,499
1,008	-34,5	-3,499
1,032	-34,5	-3,499
1,068	-34,5	-3,5
1,092	-34,5	-3,442
1,116	-34,5	-3,171
1,164	-33	-3,05
1,188	-31,5	-2,929
1,212	-28,5	-2,814
1,236	-27,5	-2,634
1,272	-26,5	-2,484
1,302	-24,5	-2,359
1,326	-23,5	-2,244
1,35	-22,5	-2,094
1,38	-20	-1,854
1,428	-18	-1,728
1,452	-17	-1,524
1,494	-14	-1,403
1,518	-13	-1,283
1,542	-11,5	-1,104
1,578	-10	-0,988
1,602	-9	-0,858
1,626	-7,5	-0,654
1,668	-6	-0,528
1,692	-5	-0,354
1,728	-3,5	-0,243
1,751	-2,5	-0,166
1,775	-1,5	-0,115
1,817	0	-0,059
1,842	0	-0,042
1,866	0	-0,024
1,902	0,5	-0,016
1,925	0,5	-0,011
1,949	1	-0,008
1,974	1	-0,005
1,998	1	-0,004
2,021	1	-0,002
2,046	1	-0,001
2,088	1	-0,001
2,121	1	0
2,16	1	-0,078
2,19	1	-0,213
2,213	0,5	-0,336
2,237	0	-0,457
2,262	-1	-0,582
2,286	-2	-0,697
2,31	-4	-0,818
2,334	-5	-1,028
2,376	-7	-1,243
2,418	-9	-1,413
2,454	-10,5	-1,598
2,49	-11,5	-1,723
2,514	-13,5	-1,838
2,538	-14,5	-2,028
2,574	-16	-2,138
2,598	-17	-2,258
2,622	-18	-2,378
2,646	-19	-2,498
2,67	-20	-2,618
2,694	-22	-2,738
2,718	-23	-2,858
2,757	-25	-3,073
2,784	-26	-3,297
2,832	-29,5	-3,356
2,856	-29,5	-3,399
2,88	-31,5	-3,442
2,916	-32,5	-3,46
2,94	-33	-3,477
2,976	-33,5	-3,484
3	-33,5	-3,49
3,024	-33,5	-3,494
3,066	-33,5	-3,496
3,09	-33,5	-3,498
3,132	-33,5	-3,498
3,155	-33,5	-3,499
3,179	-33,5	-3,499
3,204	-33,5	-3,499
3,228	-33,5	-3,5
3,263	-33,5	-3,397
3,288	-33,5	-3,273
3,312	-32,5	-3,14
3,336	-31,5	-2,934
3,378	-28,5	-2,813
3,401	-28,5	-2,693
3,425	-26	-2,573
3,45	-25	-2,453
3,474	-23	-2,328
3,498	-22	-2,213
3,522	-21	-1,973
3,584	-17,5	-1,788
3,606	-16,5	-1,673
3,644	-14,5	-1,493
3,665	-13,5	-1,373
3,689	-12,5	-1,253
3,714	-10,5	-1,134
3,738	-9,5	-0,944
3,774	-7,5	-0,834
3,798	-6,5	-0,714
3,822	-5,5	-0,474
3,87	-3	-0,349
3,894	-2	-0,183
3,935	-0,5	-0,103
3,972	0	-0,072
3,995	0	-0,029
4,056	1	-0,02
4,079	1	-0,014
4,103	1	-0,009
4,127	1	-0,006
4,151	1	-0,004
4,175	1	-0,002
4,223	1	-0,002
4,248	1	-0,001
4,271	1	-0,001
4,307	1	0
4,331	1	-0,072
4,355	1	-0,208
4,379	1	-0,332
4,403	0	-0,458
4,428	0	-0,573
4,452	-2,5	-0,698
4,476	-3,5	-0,813
4,516	-5,5	-1,028
4,542	-6,5	-1,143
4,588	-8,5	-1,383
4,613	-10	-1,504
4,637	-10,5	-1,628
4,662	-11,5	-1,743
4,706	-13,5	-1,958
4,728	-14,5	-2,074
4,766	-16	-2,253
4,787	-17	-2,373
4,811	-18	-2,493
4,835	-20	-2,608
4,859	-21	-2,733
4,883	-22,5	-2,858
4,908	-23,5	-2,973
4,932	-24	-3,183
4,974	-27,5	-3,287
4,997	-28,5	-3,351
5,021	-30,5	-3,415
5,058	-31,5	-3,441
5,081	-31,5	-3,46
5,105	-32	-3,472
5,129	-32,5	-3,48
5,153	-33	-3,492
5,208	-33	-3,494
5,231	-33	-3,497
5,267	-33	-3,498
5,291	-33	-3,498
5,315	-33	-3,499
