Time (s)	Load (N)	Displacement (mm)
329,063	3	-0,028
329,087	3,5	-0,019
329,111	3,5	-0,013
329,135	3,5	-0,009
329,159	3,5	-0,005
329,195	3,5	-0,004
329,219	3,5	-0,002
329,243	3,5	-0,002
329,267	3,5	-0,001
329,291	3,5	0
329,315	3,5	-0,004
329,339	3,5	-0,127
329,363	3	-0,321
329,399	1,5	-0,446
329,423	0,5	-0,557
329,447	0	-0,677
329,471	-1	-0,797
329,495	-1,5	-0,922
329,519	-3	-1,042
329,543	-3	-1,162
329,567	-3,5	-1,277
329,591	-4,5	-1,397
329,615	-4,5	-1,517
329,639	-5,5	-1,717
329,675	-6	-1,827
329,699	-7,5	-1,942
329,723	-8,5	-2,057
329,747	-10	-2,238
329,783	-11	-2,357
329,807	-12	-2,512
329,837	-13	-2,628
329,861	-14,5	-2,747
329,885	-15,5	-2,867
329,909	-16,5	-2,987
329,933	-18	-3,107
329,957	-18	-3,23
329,981	-21	-3,312
330,005	-22	-3,37
330,029	-23	-3,412
330,053	-23	-3,439
330,077	-24,5	-3,458
330,101	-25	-3,47
330,125	-25	-3,48
330,149	-25,5	-3,486
330,173	-25,5	-3,49
330,197	-25,5	-3,493
330,221	-25,5	-3,495
330,245	-25,5	-3,496
330,269	-25,5	-3,498
330,293	-25,5	-3,498
330,317	-25,5	-3,499
330,341	-25,5	-3,499
330,365	-25,5	-3,499
330,389	-25,5	-3,499
330,413	-25,5	-3,462
330,437	-25,5	-3,261
330,473	-25	-3,139
330,497	-24	-3,013
330,521	-21	-2,892
330,545	-20	-2,777
330,569	-19	-2,657
330,593	-17,5	-2,538
330,617	-16,5	-2,418
330,641	-14,5	-2,228
330,677	-12	-2,108
330,701	-10,5	-1,998
330,725	-10	-1,878
330,749	-9	-1,758
330,773	-8	-1,638
330,797	-6,5	-1,517
330,821	-5,5	-1,397
330,845	-4,5	-1,272
330,869	-4	-1,152
330,893	-3	-1,037
330,917	-2,5	-0,917
330,941	-1,5	-0,797
330,965	-1	-0,678
330,989	-0,5	-0,558
331,013	0	-0,432
331,037	0	-0,318
331,061	1	-0,217
331,085	1,5	-0,147
331,109	2	-0,078
331,151	2,5	-0,053
331,175	3	-0,037
331,199	3,5	-0,02
331,235	3,5	-0,014
