Time (s)	Load (N)	Displacement (mm)
0	0	-0,035
0,022	0	-0,175
0,046	0	-0,331
0,076	-2	-0,452
0,1	-6,5	-0,573
0,124	-8,5	-0,693
0,149	-10,5	-0,813
0,172	-12	-0,933
0,197	-14	-1,053
0,222	-16,5	-1,173
0,244	-18,5	-1,293
0,268	-18,5	-1,413
0,292	-18,5	-1,533
0,316	-22	-1,653
0,34	-23	-1,773
0,365	-23	-1,893
0,388	-23	-2,013
0,412	-28	-2,133
0,438	-29,5	-2,253
0,46	-29,5	-2,373
0,484	-29,5	-2,494
0,508	-34	-2,614
0,532	-35,5	-2,734
0,556	-36,5	-2,854
0,58	-36,5	-2,974
0,604	-39	-3,094
0,628	-39,5	-3,239
0,658	-41	-3,321
0,682	-41	-3,377
0,706	-43,5	-3,415
0,73	-44	-3,441
0,754	-44	-3,46
0,778	-44	-3,472
0,802	-44,5	-3,482
0,826	-44,5	-3,487
0,85	-44	-3,49
0,874	-44	-3,494
0,898	-44	-3,496
0,922	-43,5	-3,497
0,946	-43,5	-3,498
0,97	-43,5	-3,499
0,994	-43,5	-3,499
1,018	-43,5	-3,498
1,042	-43,5	-3,388
1,066	-43	-3,259
1,09	-42	-3,137
1,114	-40	-3,016
1,138	-38	-2,896
1,162	-38	-2,776
1,186	-38	-2,656
1,21	-31	-2,535
1,234	-29,5	-2,416
1,258	-28	-2,295
1,282	-25,5	-2,16
1,306	-24,5	-2,06
1,33	-23	-1,935
1,354	-22	-1,815
1,378	-21	-1,695
1,402	-19	-1,575
1,426	-17,5	-1,456
1,45	-16	-1,335
1,474	-15	-1,215
1,498	-14	-1,09
1,522	-11	-0,975
1,546	-10	-0,855
1,57	-10	-0,725
1,594	-7,5	-0,6
1,618	-6	-0,49
1,642	-3,5	-0,375
1,666	-2,5	-0,26
1,69	-1,5	-0,178
1,714	0	-0,123
1,738	0	-0,085
1,762	1	-0,053
1,792	1,5	-0,037
1,816	1,5	-0,026
1,84	2	-0,018
1,865	2	-0,012
1,888	2	-0,008
1,912	2	-0,006
1,936	2	-0,004
1,96	2	-0,003
1,984	2	-0,002
2,008	2	-0,001
2,032	2	-0,001
2,056	2	-0,001
2,08	2	0
2,104	2	0
2,128	2	0
2,152	2	-0,019
2,176	-2,5	-0,613
2,29	-4	-0,733
2,317	-5,5	-0,853
2,339	-7	-0,973
2,362	-9,5	-1,093
2,386	-11	-1,213
2,41	-12	-1,333
2,434	-13,5	-1,453
2,458	-14,5	-1,573
2,483	-14,5	-1,693
2,506	-18	-1,813
2,53	-19	-1,933
2,554	-20,5	-2,053
2,578	-21	-2,173
2,602	-23,5	-2,293
2,626	-24,5	-2,413
2,65	-25,5	-2,533
2,674	-25,5	-2,653
2,705	-29,5	-2,803
2,728	-30,5	-2,923
2,752	-31,5	-3,043
2,776	-31,5	-3,163
2,8	-36	-3,27
2,824	-37,5	-3,344
2,848	-39	-3,391
2,872	-39	-3,425
2,896	-39	-3,448
2,92	-39	-3,464
2,944	-39,5	-3,476
2,968	-39,5	-3,483
2,992	-39,5	-3,488
3,016	-40	-3,492
3,04	-40	-3,494
3,064	-40	-3,496
